window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,ok,direction,True,-30.72826805731767,11.754414911474884,-30.728268057317674,11.754414911474884,,,0.983094558218467,0.983094558218467,1.5432873938755189e-06,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0002892343520558143, ""quality"": 0.7326092664048219, ""weight"": 0.7326092664048219}, {""pair"": [0, 2], ""delay_seconds"": -0.00017241315690095694, ""quality"": 0.7543027658001908, ""weight"": 0.7543027658001908}, {""pair"": [0, 3], ""delay_seconds"": 0.00012104349149889538, ""quality"": 0.7624785360973135, ""weight"": 0.7624785360973135}, {""pair"": [1, 2], ""delay_seconds"": 0.0001160247191518524, ""quality"": 0.7580336264040111, ""weight"": 0.7580336264040111}, {""pair"": [1, 3], ""delay_seconds"": 0.00040987899247754174, ""quality"": 0.7521424208549833, ""weight"": 0.7521424208549833}, {""pair"": [2, 3], ""delay_seconds"": 0.00029385047646158315, ""quality"": 0.7306737942374132, ""weight"": 0.7306737942374132}]"
1,0.128,ok,direction,True,-29.022946344300333,11.63920636270937,-30.13140545776161,11.714091919406954,4.66298905903173,-0.31502337553070137,0.9850922514590393,0.9840934048387532,1.2001012194267858e-06,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00027455389127188835, ""quality"": 0.673450457278132, ""weight"": 0.673450457278132}, {""pair"": [0, 2], ""delay_seconds"": -0.00015938528915096292, ""quality"": 0.7048577205711078, ""weight"": 0.7048577205711078}, {""pair"": [0, 3], ""delay_seconds"": 0.00011999547292894151, ""quality"": 0.7144062784159736, ""weight"": 0.7144062784159736}, {""pair"": [1, 2], ""delay_seconds"": 0.00011538747774697621, ""quality"": 0.7086540506947708, ""weight"": 0.7086540506947708}, {""pair"": [1, 3], ""delay_seconds"": 0.00039392243990353894, ""quality"": 0.6949152877730945, ""weight"": 0.6949152877730945}, {""pair"": [2, 3], ""delay_seconds"": 0.00027911405713194524, ""quality"": 0.66995681552785, ""weight"": 0.66995681552785}]"
2,0.256,ok,direction,True,-27.20417751453154,11.499477420868716,-29.106875677631088,11.63897684491857,8.004138907269809,-0.5868365194404979,0.9856373251082393,0.9846080449285819,1.113946722250629e-06,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00025885911343895995, ""quality"": 0.6878655668956103, ""weight"": 0.6878655668956103}, {""pair"": [0, 2], ""delay_seconds"": -0.00014519960026333233, ""quality"": 0.714229718512282, ""weight"": 0.714229718512282}, {""pair"": [0, 3], ""delay_seconds"": 0.00011872980043736562, ""quality"": 0.7238709175750724, ""weight"": 0.7238709175750724}, {""pair"": [1, 2], ""delay_seconds"": 0.00011410218622738895, ""quality"": 0.7221455703745049, ""weight"": 0.7221455703745049}, {""pair"": [1, 3], ""delay_seconds"": 0.0003767474898977593, ""quality"": 0.7115687451136101, ""weight"": 0.7115687451136101}, {""pair"": [2, 3], ""delay_seconds"": 0.00026277392610458354, ""quality"": 0.6866078054494084, ""weight"": 0.6866078054494084}]"
3,0.384,ok,direction,True,-25.465830533322865,11.409251833680539,-27.832509877123204,11.55857309098526,9.955982816467923,-0.6281543276039914,0.9856862224410389,0.9848775893066961,1.106374831240066e-06,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0002433552528707033, ""quality"": 0.7078542332155974, ""weight"": 0.7078542332155974}, {""pair"": [0, 2], ""delay_seconds"": -0.00013022069423316806, ""quality"": 0.7426747614029823, ""weight"": 0.7426747614029823}, {""pair"": [0, 3], ""delay_seconds"": 0.00011726189717227042, ""quality"": 0.7469990165386527, ""weight"": 0.7469990165386527}, {""pair"": [1, 2], ""delay_seconds"": 0.00011295095226161531, ""quality"": 0.7445303165339316, ""weight"": 0.7445303165339316}, {""pair"": [1, 3], ""delay_seconds"": 0.00036081295578496, ""quality"": 0.7313393558661702, ""weight"": 0.7313393558661702}, {""pair"": [2, 3], ""delay_seconds"": 0.00024745069196441006, ""quality"": 0.7053908063861196, ""weight"": 0.7053908063861196}]"
4,0.512,ok,direction,True,-23.57420996401806,11.267666742924716,-26.342104907536406,11.45675586916407,11.643788824896806,-0.7954470454780427,0.9872217770159089,0.9853464268485388,8.817281062082453e-07,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00022663439719400297, ""quality"": 0.6999104984426547, ""weight"": 0.6999104984426547}, {""pair"": [0, 2], ""delay_seconds"": -0.00011473080114157206, ""quality"": 0.7392809947556696, ""weight"": 0.7392809947556696}, {""pair"": [0, 3], ""delay_seconds"": 0.00011591103902628991, ""quality"": 0.730669114426803, ""weight"": 0.730669114426803}, {""pair"": [1, 2], ""delay_seconds"": 0.00011185763935466442, ""quality"": 0.7357814300462293, ""weight"": 0.7357814300462293}, {""pair"": [1, 3], ""delay_seconds"": 0.0003421603492462407, ""quality"": 0.7279897632194332, ""weight"": 0.7279897632194332}, {""pair"": [2, 3], ""delay_seconds"": 0.0002301554252636749, ""quality"": 0.7020100582244801, ""weight"": 0.7020100582244801}]"
5,0.64,ok,direction,True,-21.78548272501492,11.116516002348849,-24.74728714365388,11.337671915778742,12.459513780332276,-0.9303433858228738,0.9879250645621676,0.9857761998008101,7.873419554702344e-07,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0002103198253946373, ""quality"": 0.7062174724660772, ""weight"": 0.7062174724660772}, {""pair"": [0, 2], ""delay_seconds"": -9.963407721906596e-05, ""quality"": 0.7424253652076043, ""weight"": 0.7424253652076043}, {""pair"": [0, 3], ""delay_seconds"": 0.00011388600819343995, ""quality"": 0.7386562287885716, ""weight"": 0.7386562287885716}, {""pair"": [1, 2], ""delay_seconds"": 0.00011018945109892738, ""quality"": 0.7462731741148174, ""weight"": 0.7462731741148174}, {""pair"": [1, 3], ""delay_seconds"": 0.0003247471682506666, ""quality"": 0.7325724188237668, ""weight"": 0.7325724188237668}, {""pair"": [2, 3], ""delay_seconds"": 0.00021363188489094894, ""quality"": 0.7040945231459849, ""weight"": 0.7040945231459849}]"
6,0.768,ok,direction,True,-20.06360030204242,10.945529444582998,-23.10799674908987,11.200422050860231,12.80695620753125,-1.0722645696758653,0.9896222152140921,0.9868641426334143,5.815714521381597e-07,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00019465279884714554, ""quality"": 0.7095558668786388, ""weight"": 0.7095558668786388}, {""pair"": [0, 2], ""delay_seconds"": -8.517943353221972e-05, ""quality"": 0.7483634310293843, ""weight"": 0.7483634310293843}, {""pair"": [0, 3], ""delay_seconds"": 0.00011165690279581708, ""quality"": 0.7388223120026083, ""weight"": 0.7388223120026083}, {""pair"": [1, 2], ""delay_seconds"": 0.00010907452098156398, ""quality"": 0.7497955089634031, ""weight"": 0.7497955089634031}, {""pair"": [1, 3], ""delay_seconds"": 0.0003068004183071371, ""quality"": 0.7352376832584027, ""weight"": 0.7352376832584027}, {""pair"": [2, 3], ""delay_seconds"": 0.00019805192982727676, ""quality"": 0.706855321955854, ""weight"": 0.706855321955854}]"
7,0.896,ok,direction,True,-18.34857430301575,10.811492558140987,-21.442198892963926,11.064296728408495,13.014045750983971,-1.0634790816541895,0.9912825544652663,0.9878958598011188,4.103668259156628e-07,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00017885263042722726, ""quality"": 0.7061564084233052, ""weight"": 0.7061564084233052}, {""pair"": [0, 2], ""delay_seconds"": -7.040863843556515e-05, ""quality"": 0.7375880314327207, ""weight"": 0.7375880314327207}, {""pair"": [0, 3], ""delay_seconds"": 0.00011005609302517905, ""quality"": 0.7420072995585737, ""weight"": 0.7420072995585737}, {""pair"": [1, 2], ""delay_seconds"": 0.00010771944245051675, ""quality"": 0.744746965930777, ""weight"": 0.744746965930777}, {""pair"": [1, 3], ""delay_seconds"": 0.00028962192946230627, ""quality"": 0.7333438628866958, ""weight"": 0.7333438628866958}, {""pair"": [2, 3], ""delay_seconds"": 0.00018145181591812487, ""quality"": 0.7026157697961899, ""weight"": 0.7026157697961899}]"
8,1.024,ok,direction,True,-16.706495098232242,10.64163206884504,-19.78470256480784,10.916364097561285,12.949190063719307,-1.1557236784938278,0.9936250540153854,0.9892271479523099,2.1945565605646967e-07,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0001634760544379533, ""quality"": 0.7070872116359969, ""weight"": 0.7070872116359969}, {""pair"": [0, 2], ""delay_seconds"": -5.6956818213674516e-05, ""quality"": 0.7476342719417831, ""weight"": 0.7476342719417831}, {""pair"": [0, 3], ""delay_seconds"": 0.00010830260663196693, ""quality"": 0.7450547279696286, ""weight"": 0.7450547279696286}, {""pair"": [1, 2], ""delay_seconds"": 0.00010649186690914952, ""quality"": 0.7478628821984599, ""weight"": 0.7478628821984599}, {""pair"": [1, 3], ""delay_seconds"": 0.00027235884975832983, ""quality"": 0.7331674215212751, ""weight"": 0.7331674215212751}, {""pair"": [2, 3], ""delay_seconds"": 0.0001653309255982475, ""quality"": 0.709387297238274, ""weight"": 0.709387297238274}]"
9,1.152,ok,direction,True,-15.020897323742947,10.477458134128991,-18.117370730435134,10.762747010359982,13.026029956036755,-1.2001334937601786,0.9928923864628757,0.9904281752892826,2.7279811904280874e-07,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00014719756898202697, ""quality"": 0.6879969015352526, ""weight"": 0.6879969015352526}, {""pair"": [0, 2], ""delay_seconds"": -4.27507275694886e-05, ""quality"": 0.727132239361717, ""weight"": 0.727132239361717}, {""pair"": [0, 3], ""delay_seconds"": 0.00010705825754243375, ""quality"": 0.718841980256164, ""weight"": 0.718841980256164}, {""pair"": [1, 2], ""delay_seconds"": 0.00010509760569129156, ""quality"": 0.7183691993264866, ""weight"": 0.7183691993264866}, {""pair"": [1, 3], ""delay_seconds"": 0.000254215688372501, ""quality"": 0.7130744224104729, ""weight"": 0.7130744224104729}, {""pair"": [2, 3], ""delay_seconds"": 0.00014949743556304294, ""quality"": 0.6862073681885962, ""weight"": 0.6862073681885962}]"
10,1.28,ok,direction,True,-13.848123436781703,10.379922747125704,-16.623134177656432,10.628758518227984,11.673723068583708,-1.046785094781232,0.993693695181733,0.99150682831692,2.1475519448884596e-07,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00013602229291188249, ""quality"": 0.677882318196019, ""weight"": 0.677882318196019}, {""pair"": [0, 2], ""delay_seconds"": -3.220402586062263e-05, ""quality"": 0.7141830515732603, ""weight"": 0.7141830515732603}, {""pair"": [0, 3], ""delay_seconds"": 0.0001058030834377055, ""quality"": 0.7139375200926245, ""weight"": 0.7139375200926245}, {""pair"": [1, 2], ""delay_seconds"": 0.00010405843331240039, ""quality"": 0.712186919462203, ""weight"": 0.712186919462203}, {""pair"": [1, 3], ""delay_seconds"": 0.00024205674719113645, ""quality"": 0.7051924353780816, ""weight"": 0.7051924353780816}, {""pair"": [2, 3], ""delay_seconds"": 0.00013815848985780809, ""quality"": 0.6764246535131655, ""weight"": 0.6764246535131655}]"
11,1.408,ok,direction,True,-11.628402852777898,10.706202441117542,-14.874978213948943,10.65586389123933,13.657468466464774,0.2117607266511336,0.9580556305923806,0.9865285893219555,9.500382675015332e-06,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00011974252559263546, ""quality"": 0.6964775602759002, ""weight"": 0.6964775602759002}, {""pair"": [0, 2], ""delay_seconds"": -1.8438136425179885e-07, ""quality"": 0.8321902914688081, ""weight"": 0.8321902914688081}, {""pair"": [0, 3], ""delay_seconds"": 0.00010459246980702487, ""quality"": 0.7306757738821082, ""weight"": 0.7306757738821082}, {""pair"": [1, 2], ""delay_seconds"": 0.00010272043674056866, ""quality"": 0.7306677012205032, ""weight"": 0.7306677012205032}, {""pair"": [1, 3], ""delay_seconds"": 0.00022356105099411393, ""quality"": 0.7230919953409998, ""weight"": 0.7230919953409998}, {""pair"": [2, 3], ""delay_seconds"": 0.00012081777190075191, ""quality"": 0.6991906417137764, ""weight"": 0.6991906417137764}]"
12,1.536,ok,direction,True,-10.549092579071118,10.228777949227462,-13.360918241741697,10.506383811535176,11.828593532869014,-1.1678131226886952,0.9867370645746648,0.986047730882051,9.498894629216978e-07,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00010600639661994313, ""quality"": 0.7093080507407448, ""weight"": 0.7093080507407448}, {""pair"": [0, 2], ""delay_seconds"": 3.950900830790197e-07, ""quality"": 0.8742748376204672, ""weight"": 0.8742748376204672}, {""pair"": [0, 3], ""delay_seconds"": 0.00010298637296649267, ""quality"": 0.737730872494232, ""weight"": 0.737730872494232}, {""pair"": [1, 2], ""delay_seconds"": 0.000101672474149026, ""quality"": 0.7346100523300952, ""weight"": 0.7346100523300952}, {""pair"": [1, 3], ""delay_seconds"": 0.00020782774401112636, ""quality"": 0.7334467745459449, ""weight"": 0.7334467745459449}, {""pair"": [2, 3], ""delay_seconds"": 0.00010729005289382746, ""quality"": 0.7090309664067098, ""weight"": 0.7090309664067098}]"
13,1.664,ok,direction,True,-9.504150281378015,9.724223780131515,-12.011049455614412,10.232627800543895,10.545849891619339,-2.1387188358693874,0.9815747332928356,0.9844297606866458,1.833248447442753e-06,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -9.215809667376599e-05, ""quality"": 0.7064920221806869, ""weight"": 0.7064920221806869}, {""pair"": [0, 2], ""delay_seconds"": 8.992603633897941e-07, ""quality"": 0.8722400831956182, ""weight"": 0.8722400831956182}, {""pair"": [0, 3], ""delay_seconds"": 0.00010151812451549508, ""quality"": 0.7279619670299834, ""weight"": 0.7279619670299834}, {""pair"": [1, 2], ""delay_seconds"": 9.956840636781278e-05, ""quality"": 0.731405698008981, ""weight"": 0.731405698008981}, {""pair"": [1, 3], ""delay_seconds"": 0.0001926485021743115, ""quality"": 0.732590991723717, ""weight"": 0.732590991723717}, {""pair"": [2, 3], ""delay_seconds"": 9.382095897404322e-05, ""quality"": 0.6991376328174508, ""weight"": 0.6991376328174508}]"
