window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,low_confidence,position,False,-30.77584535306886,11.765620537273067,,,,,0.3497081854151511,0.3497081854151511,1.554527290987081e-08,6,0,False,coplanar range ratio too high: 8.69; coplanar position range is not observable: far-field RMS 0.000507 m; confidence below reliable threshold: 0.350,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0002892343520558143, ""quality"": 0.7326092664048219, ""weight"": 0.7326092664048219}, {""pair"": [0, 2], ""delay_seconds"": -0.00017241315690095694, ""quality"": 0.7543027658001908, ""weight"": 0.7543027658001908}, {""pair"": [0, 3], ""delay_seconds"": 0.00012104349149889538, ""quality"": 0.7624785360973135, ""weight"": 0.7624785360973135}, {""pair"": [1, 2], ""delay_seconds"": 0.0001160247191518524, ""quality"": 0.7580336264040111, ""weight"": 0.7580336264040111}, {""pair"": [1, 3], ""delay_seconds"": 0.00040987899247754174, ""quality"": 0.7521424208549833, ""weight"": 0.7521424208549833}, {""pair"": [2, 3], ""delay_seconds"": 0.00029385047646158315, ""quality"": 0.7306737942374132, ""weight"": 0.7306737942374132}]"
1,0.128,low_confidence,position,False,-29.06937892532759,11.651059838464262,,,,,0.31177843840341435,0.33074331190928274,1.2276171214256834e-08,6,0,False,coplanar range ratio too high: 8.59; coplanar position range is not observable: far-field RMS 0.000447 m; confidence below reliable threshold: 0.312,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00027455389127188835, ""quality"": 0.673450457278132, ""weight"": 0.673450457278132}, {""pair"": [0, 2], ""delay_seconds"": -0.00015938528915096292, ""quality"": 0.7048577205711078, ""weight"": 0.7048577205711078}, {""pair"": [0, 3], ""delay_seconds"": 0.00011999547292894151, ""quality"": 0.7144062784159736, ""weight"": 0.7144062784159736}, {""pair"": [1, 2], ""delay_seconds"": 0.00011538747774697621, ""quality"": 0.7086540506947708, ""weight"": 0.7086540506947708}, {""pair"": [1, 3], ""delay_seconds"": 0.00039392243990353894, ""quality"": 0.6949152877730945, ""weight"": 0.6949152877730945}, {""pair"": [2, 3], ""delay_seconds"": 0.00027911405713194524, ""quality"": 0.66995681552785, ""weight"": 0.66995681552785}]"
2,0.256,low_confidence,position,False,-27.247967513322468,11.512715521496395,,,,,0.30128375055322615,0.3209234581239305,3.3961094482107906e-08,6,0,False,coplanar range ratio too high: 8.56; coplanar position range is not observable: far-field RMS 0.000431 m; confidence below reliable threshold: 0.301,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00025885911343895995, ""quality"": 0.6878655668956103, ""weight"": 0.6878655668956103}, {""pair"": [0, 2], ""delay_seconds"": -0.00014519960026333233, ""quality"": 0.714229718512282, ""weight"": 0.714229718512282}, {""pair"": [0, 3], ""delay_seconds"": 0.00011872980043736562, ""quality"": 0.7238709175750724, ""weight"": 0.7238709175750724}, {""pair"": [1, 2], ""delay_seconds"": 0.00011410218622738895, ""quality"": 0.7221455703745049, ""weight"": 0.7221455703745049}, {""pair"": [1, 3], ""delay_seconds"": 0.0003767474898977593, ""quality"": 0.7115687451136101, ""weight"": 0.7115687451136101}, {""pair"": [2, 3], ""delay_seconds"": 0.00026277392610458354, ""quality"": 0.6866078054494084, ""weight"": 0.6866078054494084}]"
3,0.384,low_confidence,position,False,-25.511500085587716,11.424450430778055,,,,,0.3161134422171712,0.31972095414724067,3.821107704449359e-09,6,0,False,coplanar range ratio too high: 8.14; coplanar position range is not observable: far-field RMS 0.000429 m; confidence below reliable threshold: 0.316,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0002433552528707033, ""quality"": 0.7078542332155974, ""weight"": 0.7078542332155974}, {""pair"": [0, 2], ""delay_seconds"": -0.00013022069423316806, ""quality"": 0.7426747614029823, ""weight"": 0.7426747614029823}, {""pair"": [0, 3], ""delay_seconds"": 0.00011726189717227042, ""quality"": 0.7469990165386527, ""weight"": 0.7469990165386527}, {""pair"": [1, 2], ""delay_seconds"": 0.00011295095226161531, ""quality"": 0.7445303165339316, ""weight"": 0.7445303165339316}, {""pair"": [1, 3], ""delay_seconds"": 0.00036081295578496, ""quality"": 0.7313393558661702, ""weight"": 0.7313393558661702}, {""pair"": [2, 3], ""delay_seconds"": 0.00024745069196441006, ""quality"": 0.7053908063861196, ""weight"": 0.7053908063861196}]"
4,0.512,low_confidence,position,False,-23.614629507586944,11.283875795532644,,,,,0.27698559505269343,0.31117388232833126,6.2615398488521875e-09,6,0,False,coplanar range ratio too high: 8.30; coplanar position range is not observable: far-field RMS 0.000383 m; confidence below reliable threshold: 0.277,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00022663439719400297, ""quality"": 0.6999104984426547, ""weight"": 0.6999104984426547}, {""pair"": [0, 2], ""delay_seconds"": -0.00011473080114157206, ""quality"": 0.7392809947556696, ""weight"": 0.7392809947556696}, {""pair"": [0, 3], ""delay_seconds"": 0.00011591103902628991, ""quality"": 0.730669114426803, ""weight"": 0.730669114426803}, {""pair"": [1, 2], ""delay_seconds"": 0.00011185763935466442, ""quality"": 0.7357814300462293, ""weight"": 0.7357814300462293}, {""pair"": [1, 3], ""delay_seconds"": 0.0003421603492462407, ""quality"": 0.7279897632194332, ""weight"": 0.7279897632194332}, {""pair"": [2, 3], ""delay_seconds"": 0.0002301554252636749, ""quality"": 0.7020100582244801, ""weight"": 0.7020100582244801}]"
5,0.64,low_confidence,position,False,-21.824402700216904,11.133765510908349,,,,,0.2642814063770627,0.30335846966978647,2.2449411441728774e-08,6,0,False,coplanar range ratio too high: 8.21; coplanar position range is not observable: far-field RMS 0.000362 m; confidence below reliable threshold: 0.264,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0002103198253946373, ""quality"": 0.7062174724660772, ""weight"": 0.7062174724660772}, {""pair"": [0, 2], ""delay_seconds"": -9.963407721906596e-05, ""quality"": 0.7424253652076043, ""weight"": 0.7424253652076043}, {""pair"": [0, 3], ""delay_seconds"": 0.00011388600819343995, ""quality"": 0.7386562287885716, ""weight"": 0.7386562287885716}, {""pair"": [1, 2], ""delay_seconds"": 0.00011018945109892738, ""quality"": 0.7462731741148174, ""weight"": 0.7462731741148174}, {""pair"": [1, 3], ""delay_seconds"": 0.0003247471682506666, ""quality"": 0.7325724188237668, ""weight"": 0.7325724188237668}, {""pair"": [2, 3], ""delay_seconds"": 0.00021363188489094894, ""quality"": 0.7040945231459849, ""weight"": 0.7040945231459849}]"
6,0.768,low_confidence,position,False,-20.09470223142266,10.96099642551221,,,,,0.21066889432201907,0.28018525448759785,3.13389516392032e-08,6,0,False,coplanar range ratio too high: 8.85; coplanar position range is not observable: far-field RMS 0.000311 m; confidence below reliable threshold: 0.211,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00019465279884714554, ""quality"": 0.7095558668786388, ""weight"": 0.7095558668786388}, {""pair"": [0, 2], ""delay_seconds"": -8.517943353221972e-05, ""quality"": 0.7483634310293843, ""weight"": 0.7483634310293843}, {""pair"": [0, 3], ""delay_seconds"": 0.00011165690279581708, ""quality"": 0.7388223120026083, ""weight"": 0.7388223120026083}, {""pair"": [1, 2], ""delay_seconds"": 0.00010907452098156398, ""quality"": 0.7497955089634031, ""weight"": 0.7497955089634031}, {""pair"": [1, 3], ""delay_seconds"": 0.0003068004183071371, ""quality"": 0.7352376832584027, ""weight"": 0.7352376832584027}, {""pair"": [2, 3], ""delay_seconds"": 0.00019805192982727676, ""quality"": 0.706855321955854, ""weight"": 0.706855321955854}]"
7,0.896,low_confidence,position,False,-18.372417381798165,10.823937125308422,,,,,0.16151538271918234,0.25514141187355915,3.553521782277482e-08,6,0,False,coplanar range ratio too high: 9.69; coplanar position range is not observable: far-field RMS 0.000262 m; confidence below reliable threshold: 0.162,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00017885263042722726, ""quality"": 0.7061564084233052, ""weight"": 0.7061564084233052}, {""pair"": [0, 2], ""delay_seconds"": -7.040863843556515e-05, ""quality"": 0.7375880314327207, ""weight"": 0.7375880314327207}, {""pair"": [0, 3], ""delay_seconds"": 0.00011005609302517905, ""quality"": 0.7420072995585737, ""weight"": 0.7420072995585737}, {""pair"": [1, 2], ""delay_seconds"": 0.00010771944245051675, ""quality"": 0.744746965930777, ""weight"": 0.744746965930777}, {""pair"": [1, 3], ""delay_seconds"": 0.00028962192946230627, ""quality"": 0.7333438628866958, ""weight"": 0.7333438628866958}, {""pair"": [2, 3], ""delay_seconds"": 0.00018145181591812487, ""quality"": 0.7026157697961899, ""weight"": 0.7026157697961899}]"
8,1.024,low_confidence,position,False,-90.0,32.11917754719377,,,,,0.0,0.20492745344802146,9.499150781879003e-05,6,0,False,coplanar position range is not observable: normal ratio 0.00; confidence below reliable threshold: 0.000,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0001634760544379533, ""quality"": 0.7070872116359969, ""weight"": 0.7070872116359969}, {""pair"": [0, 2], ""delay_seconds"": -5.6956818213674516e-05, ""quality"": 0.7476342719417831, ""weight"": 0.7476342719417831}, {""pair"": [0, 3], ""delay_seconds"": 0.00010830260663196693, ""quality"": 0.7450547279696286, ""weight"": 0.7450547279696286}, {""pair"": [1, 2], ""delay_seconds"": 0.00010649186690914952, ""quality"": 0.7478628821984599, ""weight"": 0.7478628821984599}, {""pair"": [1, 3], ""delay_seconds"": 0.00027235884975832983, ""quality"": 0.7331674215212751, ""weight"": 0.7331674215212751}, {""pair"": [2, 3], ""delay_seconds"": 0.0001653309255982475, ""quality"": 0.709387297238274, ""weight"": 0.709387297238274}]"
9,1.152,low_confidence,position,False,-90.0,34.73748544481834,,,,,0.0,0.1522418797451596,6.903684561488127e-05,6,0,False,coplanar position range is not observable: normal ratio 0.00; confidence below reliable threshold: 0.000,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00014719756898202697, ""quality"": 0.6879969015352526, ""weight"": 0.6879969015352526}, {""pair"": [0, 2], ""delay_seconds"": -4.27507275694886e-05, ""quality"": 0.727132239361717, ""weight"": 0.727132239361717}, {""pair"": [0, 3], ""delay_seconds"": 0.00010705825754243375, ""quality"": 0.718841980256164, ""weight"": 0.718841980256164}, {""pair"": [1, 2], ""delay_seconds"": 0.00010509760569129156, ""quality"": 0.7183691993264866, ""weight"": 0.7183691993264866}, {""pair"": [1, 3], ""delay_seconds"": 0.000254215688372501, ""quality"": 0.7130744224104729, ""weight"": 0.7130744224104729}, {""pair"": [2, 3], ""delay_seconds"": 0.00014949743556304294, ""quality"": 0.6862073681885962, ""weight"": 0.6862073681885962}]"
