window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
1,0.128,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
2,0.256,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
3,0.384,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
4,0.512,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
5,0.64,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
6,0.768,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
7,0.896,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
8,1.024,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
9,1.152,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
10,1.28,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
11,1.408,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
12,1.536,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
13,1.664,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
14,1.792,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
15,1.92,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
16,2.048,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
17,2.176,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
18,2.304,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
19,2.432,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
