window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
1,0.021333333333333333,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
2,0.042666666666666665,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
3,0.064,ok,direction,True,29.857143711305014,45.617380696004396,29.857143711305014,45.617380696004396,,,0.9678670891836179,0.24196677229590446,5.575629370681255e-06,6,0,True,near-field bearing,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003321366458670559, ""quality"": 0.3703352370581588, ""weight"": 0.3703352370581588}, {""pair"": [0, 2], ""delay_seconds"": 0.0005344580078348931, ""quality"": 0.4165871954146147, ""weight"": 0.4165871954146147}, {""pair"": [0, 3], ""delay_seconds"": 0.0001731013869529304, ""quality"": 0.36811048450398715, ""weight"": 0.36811048450398715}, {""pair"": [1, 2], ""delay_seconds"": 0.00023258320841867773, ""quality"": 0.3688180984799322, ""weight"": 0.3688180984799322}, {""pair"": [1, 3], ""delay_seconds"": -0.00014190209052578707, ""quality"": 0.403062936182373, ""weight"": 0.403062936182373}, {""pair"": [2, 3], ""delay_seconds"": -0.00036830005288562736, ""quality"": 0.37679281430778544, ""weight"": 0.37679281430778544}]"
4,0.08533333333333333,ok,direction,True,31.77134971854667,45.64582946221956,30.527115813839593,45.6273377641797,31.404942306308754,0.4667375707173572,0.9571498148673143,0.3850033808101864,9.915147175889344e-06,6,0,True,near-field bearing,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.00030399985110418377, ""quality"": 0.3730529838714804, ""weight"": 0.3730529838714804}, {""pair"": [0, 2], ""delay_seconds"": 0.0005408410879252497, ""quality"": 0.41534303033853137, ""weight"": 0.41534303033853137}, {""pair"": [0, 3], ""delay_seconds"": 0.0001989254838357902, ""quality"": 0.3664317618305407, ""weight"": 0.3664317618305407}, {""pair"": [1, 2], ""delay_seconds"": 0.0002451851429064847, ""quality"": 0.368734863952815, ""weight"": 0.368734863952815}, {""pair"": [1, 3], ""delay_seconds"": -0.00013997581907623823, ""quality"": 0.40504404332577815, ""weight"": 0.40504404332577815}, {""pair"": [2, 3], ""delay_seconds"": -0.0003589555332925504, ""quality"": 0.37485327921857553, ""weight"": 0.37485327921857553}]"
5,0.10666666666666667,insufficient_signal,direction,False,,,30.527115813839593,45.6273377641797,,,0.0,0.32083615067515536,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
6,0.128,insufficient_signal,direction,False,,,30.527115813839593,45.6273377641797,,,0.0,0.32083615067515536,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
7,0.14933333333333335,insufficient_signal,direction,False,,,30.527115813839593,45.6273377641797,,,0.0,0.32083615067515536,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
8,0.17066666666666666,insufficient_signal,direction,False,,,30.527115813839593,45.6273377641797,,,0.0,0.32083615067515536,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
9,0.192,insufficient_signal,direction,False,,,30.527115813839593,45.6273377641797,,,0.0,0.1595249691445524,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
