window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
1,0.021333333333333333,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
2,0.042666666666666665,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
3,0.064,ok,position,True,31.84910127907718,46.56368224730837,31.84910127907718,46.56368224730837,,,0.9999849504544642,0.24999623761361606,1.2230396325042122e-12,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003125044938188712, ""quality"": 0.9957146739799191, ""weight"": 0.9957146739799191}, {""pair"": [0, 2], ""delay_seconds"": 0.0005416698749788827, ""quality"": 0.9977285446757272, ""weight"": 0.9977285446757272}, {""pair"": [0, 3], ""delay_seconds"": 0.00018752091961512726, ""quality"": 0.9868044202176499, ""weight"": 0.9868044202176499}, {""pair"": [1, 2], ""delay_seconds"": 0.00022916378588682356, ""quality"": 0.9979326003392508, ""weight"": 0.9979326003392508}, {""pair"": [1, 3], ""delay_seconds"": -0.00012498902511664107, ""quality"": 0.9923780809103319, ""weight"": 0.9923780809103319}, {""pair"": [2, 3], ""delay_seconds"": -0.0003541520112100298, ""quality"": 0.9920621432127437, ""weight"": 0.9920621432127437}]"
4,0.08533333333333333,ok,position,True,31.84909897375834,46.5636813045486,31.84910047221558,46.56368191734245,-3.7821637821622296e-05,-1.5467152558734657e-05,0.9999849948043172,0.3999939890517563,1.215841846373885e-12,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003125044944925336, ""quality"": 0.9957090010574803, ""weight"": 0.9957090010574803}, {""pair"": [0, 2], ""delay_seconds"": 0.0005416698721939488, ""quality"": 0.9977325697625437, ""weight"": 0.9977325697625437}, {""pair"": [0, 3], ""delay_seconds"": 0.00018752088929159733, ""quality"": 0.9868269719580466, ""weight"": 0.9868269719580466}, {""pair"": [1, 2], ""delay_seconds"": 0.00022916378361672685, ""quality"": 0.997924375371936, ""weight"": 0.997924375371936}, {""pair"": [1, 3], ""delay_seconds"": -0.00012498904165308557, ""quality"": 0.9924070967188562, ""weight"": 0.9924070967188562}, {""pair"": [2, 3], ""delay_seconds"": -0.00035415202369968966, ""quality"": 0.9920843766192786, ""weight"": 0.9920843766192786}]"
5,0.10666666666666667,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.3333283242097969,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
6,0.128,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.3333283242097969,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
7,0.14933333333333335,low_confidence,position,False,29.85464149399163,14.106892319460023,31.84910047221558,46.56368191734245,,,0.7472115563891293,0.4578635836079851,5.7013502989653e-12,6,0,False,coplanar range ratio too high: 8.03,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.00047917380919732194, ""quality"": 0.9942735223649206, ""weight"": 0.9942735223649206}, {""pair"": [0, 2], ""delay_seconds"": 0.0007708369194857911, ""quality"": 0.9974728442712913, ""weight"": 0.9974728442712913}, {""pair"": [0, 3], ""delay_seconds"": 0.0002708657993569152, ""quality"": 0.9829861560845953, ""weight"": 0.9829861560845953}, {""pair"": [1, 2], ""delay_seconds"": 0.0002916628590939179, ""quality"": 0.9964877263264268, ""weight"": 0.9964877263264268}, {""pair"": [1, 3], ""delay_seconds"": -0.0002083195397086624, ""quality"": 0.9912635359067155, ""weight"": 0.9912635359067155}, {""pair"": [2, 3], ""delay_seconds"": -0.0004999775200899753, ""quality"": 0.9906072646060583, ""weight"": 0.9906072646060583}]"
8,0.17066666666666666,low_confidence,position,False,29.85463963016124,14.10689077334455,31.84910047221558,46.56368191734245,,,0.7472126014480954,0.5823990171826677,5.692645127546425e-12,6,0,False,coplanar range ratio too high: 8.03,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.00047917380889949215, ""quality"": 0.9942729036566438, ""weight"": 0.9942729036566438}, {""pair"": [0, 2], ""delay_seconds"": 0.000770836918963784, ""quality"": 0.9974727863422648, ""weight"": 0.9974727863422648}, {""pair"": [0, 3], ""delay_seconds"": 0.00027086576785502676, ""quality"": 0.9829944866339515, ""weight"": 0.9829944866339515}, {""pair"": [1, 2], ""delay_seconds"": 0.0002916628585986657, ""quality"": 0.9964871483772868, ""weight"": 0.9964871483772868}, {""pair"": [1, 3], ""delay_seconds"": -0.00020831956228770424, ""quality"": 0.991268610956539, ""weight"": 0.991268610956539}, {""pair"": [2, 3], ""delay_seconds"": -0.0004999775449389779, ""quality"": 0.9906096500106906, ""weight"": 0.9906096500106906}]"
9,0.192,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.41573485877359034,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
10,0.21333333333333335,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.24907069297287077,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
