window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
1,0.021333333333333333,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
2,0.042666666666666665,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
3,0.064,ok,position,True,30.695496606989014,45.67916889446998,30.695496606989018,45.67916889446998,,,0.9999996624680251,0.24999991561700627,6.152103042462667e-16,6,0,True,,,20.0,0.0,343.42,8192,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003125002973054162, ""quality"": 0.9976603313724628, ""weight"": 0.9976603313724628}, {""pair"": [0, 2], ""delay_seconds"": 0.0005416668724749235, ""quality"": 0.9988237982564501, ""weight"": 0.9988237982564501}, {""pair"": [0, 3], ""delay_seconds"": 0.0001770833835663015, ""quality"": 0.9997051071164434, ""weight"": 0.9997051071164434}, {""pair"": [1, 2], ""delay_seconds"": 0.00022916648358149673, ""quality"": 0.998999211609729, ""weight"": 0.998999211609729}, {""pair"": [1, 3], ""delay_seconds"": -0.0001354169449991812, ""quality"": 0.9981354040508982, ""weight"": 0.9981354040508982}, {""pair"": [2, 3], ""delay_seconds"": -0.00036458352843623095, ""quality"": 0.9987844168682958, ""weight"": 0.9987844168682958}]"
4,0.08533333333333333,ok,position,True,30.695496490172662,45.679168849165634,30.695496566103298,45.67916887861346,-1.9165176112778686e-06,-7.432744419944016e-07,0.9999996645979969,0.3999998654132044,6.074703195711778e-16,6,0,True,,,20.0,0.0,343.42,8192,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003125002973132727, ""quality"": 0.997657311612124, ""weight"": 0.997657311612124}, {""pair"": [0, 2], ""delay_seconds"": 0.0005416668722589465, ""quality"": 0.99882559814756, ""weight"": 0.99882559814756}, {""pair"": [0, 3], ""delay_seconds"": 0.0001770833818612199, ""quality"": 0.9997095142803751, ""weight"": 0.9997095142803751}, {""pair"": [1, 2], ""delay_seconds"": 0.00022916648343486437, ""quality"": 0.9989942475246126, ""weight"": 0.9989942475246126}, {""pair"": [1, 3], ""delay_seconds"": -0.0001354169458190187, ""quality"": 0.9981257591830377, ""weight"": 0.9981257591830377}, {""pair"": [2, 3], ""delay_seconds"": -0.0003645835286390018, ""quality"": 0.9987792953224645, ""weight"": 0.9987792953224645}]"
5,0.10666666666666667,insufficient_signal,position,False,,,30.695496566103298,45.67916887861346,,,0.0,0.33333322117767034,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
6,0.128,insufficient_signal,position,False,,,30.695496566103298,45.67916887861346,,,0.0,0.33333322117767034,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
7,0.14933333333333335,ok,position,True,28.979689210122576,14.537321495702122,30.09496399151004,34.77952229459449,-9.3833214780199,-170.30697787529633,0.9999996273660857,0.4999998257386846,7.498225840727857e-16,6,0,True,,,20.0,0.0,343.42,8192,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.00047395841508150987, ""quality"": 0.9996622773586263, ""weight"": 0.9996622773586263}, {""pair"": [0, 2], ""delay_seconds"": 0.0007656247762147107, ""quality"": 0.9988901728340706, ""weight"": 0.9988901728340706}, {""pair"": [0, 3], ""delay_seconds"": 0.0002552081394274795, ""quality"": 0.9987904088944302, ""weight"": 0.9987904088944302}, {""pair"": [1, 2], ""delay_seconds"": 0.00029166641831601225, ""quality"": 0.9981073548746464, ""weight"": 0.9981073548746464}, {""pair"": [1, 3], ""delay_seconds"": -0.00021875021248542826, ""quality"": 0.9987385405973392, ""weight"": 0.9987385405973392}, {""pair"": [2, 3], ""delay_seconds"": -0.0005104165392314754, ""quality"": 0.9995441272283639, ""weight"": 0.9995441272283639}]"
8,0.17066666666666666,ok,position,True,28.979689196376953,14.53732145581822,29.704617813213467,27.6947520010228,-18.29747710765163,-332.09860751117344,0.9999996271270237,0.6666664302598552,7.507849845259786e-16,6,0,True,,,20.0,0.0,343.42,8192,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0004739584154843164, ""quality"": 0.9996609235404293, ""weight"": 0.9996609235404293}, {""pair"": [0, 2], ""delay_seconds"": 0.0007656247761506007, ""quality"": 0.9988910169437942, ""weight"": 0.9988910169437942}, {""pair"": [0, 3], ""delay_seconds"": 0.00025520813934364517, ""quality"": 0.9987907882433633, ""weight"": 0.9987907882433633}, {""pair"": [1, 2], ""delay_seconds"": 0.0002916664182738049, ""quality"": 0.9981069772933757, ""weight"": 0.9981069772933757}, {""pair"": [1, 3], ""delay_seconds"": -0.00021875021257249572, ""quality"": 0.9987375443377392, ""weight"": 0.9987375443377392}, {""pair"": [2, 3], ""delay_seconds"": -0.0005104165394398276, ""quality"": 0.9995446565019304, ""weight"": 0.9995446565019304}]"
9,0.192,insufficient_signal,position,False,,,29.704617813213467,27.6947520010228,,,0.0,0.49999981984851777,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
