window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
1,0.021333333333333333,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
2,0.042666666666666665,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
3,0.064,ok,position,True,31.84910127907718,46.56368224730837,31.84910127907718,46.56368224730837,,,0.9999849504544642,0.24999623761361606,1.2230396325042122e-12,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003125044938188712, ""quality"": 0.9957146739799191, ""weight"": 0.9957146739799191}, {""pair"": [0, 2], ""delay_seconds"": 0.0005416698749788827, ""quality"": 0.9977285446757272, ""weight"": 0.9977285446757272}, {""pair"": [0, 3], ""delay_seconds"": 0.00018752091961512726, ""quality"": 0.9868044202176499, ""weight"": 0.9868044202176499}, {""pair"": [1, 2], ""delay_seconds"": 0.00022916378588682356, ""quality"": 0.9979326003392508, ""weight"": 0.9979326003392508}, {""pair"": [1, 3], ""delay_seconds"": -0.00012498902511664107, ""quality"": 0.9923780809103319, ""weight"": 0.9923780809103319}, {""pair"": [2, 3], ""delay_seconds"": -0.0003541520112100298, ""quality"": 0.9920621432127437, ""weight"": 0.9920621432127437}]"
4,0.08533333333333333,ok,position,True,31.84909897375834,46.5636813045486,31.84910047221558,46.56368191734245,-3.7821637821622296e-05,-1.5467152558734657e-05,0.9999849948043172,0.3999939890517563,1.215841846373885e-12,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003125044944925336, ""quality"": 0.9957090010574803, ""weight"": 0.9957090010574803}, {""pair"": [0, 2], ""delay_seconds"": 0.0005416698721939488, ""quality"": 0.9977325697625437, ""weight"": 0.9977325697625437}, {""pair"": [0, 3], ""delay_seconds"": 0.00018752088929159733, ""quality"": 0.9868269719580466, ""weight"": 0.9868269719580466}, {""pair"": [1, 2], ""delay_seconds"": 0.00022916378361672685, ""quality"": 0.997924375371936, ""weight"": 0.997924375371936}, {""pair"": [1, 3], ""delay_seconds"": -0.00012498904165308557, ""quality"": 0.9924070967188562, ""weight"": 0.9924070967188562}, {""pair"": [2, 3], ""delay_seconds"": -0.00035415202369968966, ""quality"": 0.9920843766192786, ""weight"": 0.9920843766192786}]"
5,0.10666666666666667,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.3333283242097969,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
6,0.128,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.3333283242097969,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
7,0.14933333333333335,ok,position,True,30.630013836439428,41.28882577783691,31.422420149693924,44.71748226851551,-6.666880039400967,-28.846869512920918,0.9999928014459752,0.49999379111745945,2.798235722519792e-13,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003333234118017228, ""quality"": 0.992848068393277, ""weight"": 0.992848068393277}, {""pair"": [0, 2], ""delay_seconds"": 0.0005833219040876947, ""quality"": 0.9932237613752078, ""weight"": 0.9932237613752078}, {""pair"": [0, 3], ""delay_seconds"": 0.00018749489807539963, ""quality"": 0.9950200248156587, ""weight"": 0.9950200248156587}, {""pair"": [1, 2], ""delay_seconds"": 0.0002499973869449684, ""quality"": 0.998677431444371, ""weight"": 0.998677431444371}, {""pair"": [1, 3], ""delay_seconds"": -0.00014582953855166324, ""quality"": 0.9967532277155076, ""weight"": 0.9967532277155076}, {""pair"": [2, 3], ""delay_seconds"": -0.0003958288746068737, ""quality"": 0.9964827149810036, ""weight"": 0.9964827149810036}]"
8,0.17066666666666666,ok,position,True,30.63001284106391,41.288824853080875,31.145077591673424,43.51745217311339,-13.000432407211282,-56.251410721974416,0.9999928104299384,0.6666592595224492,2.7912555542622086e-13,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003333234126687728, ""quality"": 0.9928514204343941, ""weight"": 0.9928514204343941}, {""pair"": [0, 2], ""delay_seconds"": 0.0005833219051390251, ""quality"": 0.9932254138946455, ""weight"": 0.9932254138946455}, {""pair"": [0, 3], ""delay_seconds"": 0.00018749488541619212, ""quality"": 0.9950203433598046, ""weight"": 0.9950203433598046}, {""pair"": [1, 2], ""delay_seconds"": 0.0002499973869304211, ""quality"": 0.9986769899326882, ""weight"": 0.9986769899326882}, {""pair"": [1, 3], ""delay_seconds"": -0.00014582954588396736, ""quality"": 0.9967565500657527, ""weight"": 0.9967565500657527}, {""pair"": [2, 3], ""delay_seconds"": -0.0003958288835104481, ""quality"": 0.9964833241914732, ""weight"": 0.9964833241914732}]"
9,0.192,insufficient_signal,position,False,,,31.145077591673424,43.51745217311339,,,0.0,0.4999951011133718,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
10,0.21333333333333335,insufficient_signal,position,False,,,31.145077591673424,43.51745217311339,,,0.0,0.3333309353126523,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
