window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
1,0.021333333333333333,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
2,0.042666666666666665,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
3,0.064,ok,position,True,31.84910127907718,46.56368224730837,31.84910127907718,46.56368224730837,,,0.9999849504544642,0.24999623761361606,1.2230396325042122e-12,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003125044938188712, ""quality"": 0.9957146739799191, ""weight"": 0.9957146739799191}, {""pair"": [0, 2], ""delay_seconds"": 0.0005416698749788827, ""quality"": 0.9977285446757272, ""weight"": 0.9977285446757272}, {""pair"": [0, 3], ""delay_seconds"": 0.00018752091961512726, ""quality"": 0.9868044202176499, ""weight"": 0.9868044202176499}, {""pair"": [1, 2], ""delay_seconds"": 0.00022916378588682356, ""quality"": 0.9979326003392508, ""weight"": 0.9979326003392508}, {""pair"": [1, 3], ""delay_seconds"": -0.00012498902511664107, ""quality"": 0.9923780809103319, ""weight"": 0.9923780809103319}, {""pair"": [2, 3], ""delay_seconds"": -0.0003541520112100298, ""quality"": 0.9920621432127437, ""weight"": 0.9920621432127437}]"
4,0.08533333333333333,ok,position,True,31.84909897375834,46.5636813045486,31.84910047221558,46.56368191734245,-3.7821637821622296e-05,-1.5467152558734657e-05,0.9999849948043172,0.3999939890517563,1.215841846373885e-12,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003125044944925336, ""quality"": 0.9957090010574803, ""weight"": 0.9957090010574803}, {""pair"": [0, 2], ""delay_seconds"": 0.0005416698721939488, ""quality"": 0.9977325697625437, ""weight"": 0.9977325697625437}, {""pair"": [0, 3], ""delay_seconds"": 0.00018752088929159733, ""quality"": 0.9868269719580466, ""weight"": 0.9868269719580466}, {""pair"": [1, 2], ""delay_seconds"": 0.00022916378361672685, ""quality"": 0.997924375371936, ""weight"": 0.997924375371936}, {""pair"": [1, 3], ""delay_seconds"": -0.00012498904165308557, ""quality"": 0.9924070967188562, ""weight"": 0.9924070967188562}, {""pair"": [2, 3], ""delay_seconds"": -0.00035415202369968966, ""quality"": 0.9920843766192786, ""weight"": 0.9920843766192786}]"
5,0.10666666666666667,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.3333283242097969,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
6,0.128,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.3333283242097969,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
7,0.14933333333333335,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.3333283242097969,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
8,0.17066666666666666,low_confidence,position,False,28.832908899693184,-0.0021767376697846693,31.84910047221558,46.56368191734245,,,0.7151790404753271,0.4525248309556848,1.4083444133491306e-07,6,0,False,coplanar range ratio too high: 8.35,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0004999877555291985, ""quality"": 0.9928235453833809, ""weight"": 0.9928235453833809}, {""pair"": [0, 2], ""delay_seconds"": 0.0007916696590366367, ""quality"": 0.9981851484820918, ""weight"": 0.9981851484820918}, {""pair"": [0, 3], ""delay_seconds"": 0.0002708253670978918, ""quality"": 0.993003257265676, ""weight"": 0.993003257265676}, {""pair"": [1, 2], ""delay_seconds"": 0.0002916834996958313, ""quality"": 0.9883032030295696, ""weight"": 0.9883032030295696}, {""pair"": [1, 3], ""delay_seconds"": -0.00022916350269971, ""quality"": 0.9975701882209257, ""weight"": 0.9975701882209257}, {""pair"": [2, 3], ""delay_seconds"": -0.0005208448522595607, ""quality"": 0.9920572123773406, ""weight"": 0.9920572123773406}]"
9,0.192,low_confidence,position,False,28.83290873939382,-0.0021765693749076064,31.84910047221558,46.56368191734245,,,0.7151786902341262,0.40505712091896173,1.4083532527122383e-07,6,0,False,coplanar range ratio too high: 8.35,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0004999877646707609, ""quality"": 0.9928232582886302, ""weight"": 0.9928232582886302}, {""pair"": [0, 2], ""delay_seconds"": 0.000791669660576784, ""quality"": 0.9981840040874485, ""weight"": 0.9981840040874485}, {""pair"": [0, 3], ""delay_seconds"": 0.0002708253707144658, ""quality"": 0.9930040794047191, ""weight"": 0.9930040794047191}, {""pair"": [1, 2], ""delay_seconds"": 0.00029168349279209906, ""quality"": 0.9883041780496736, ""weight"": 0.9883041780496736}, {""pair"": [1, 3], ""delay_seconds"": -0.00022916350345948084, ""quality"": 0.9975705798705327, ""weight"": 0.9975705798705327}, {""pair"": [2, 3], ""delay_seconds"": -0.0005208448519523198, ""quality"": 0.9920570974520905, ""weight"": 0.9920570974520905}]"
10,0.21333333333333335,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.2383929551182422,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
11,0.23466666666666666,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.2383929551182422,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
12,0.256,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.2383929551182422,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
13,0.2773333333333333,insufficient_signal,position,False,,,31.84910047221558,46.56368191734245,,,0.0,0.2383929551182422,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
