window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
1,0.021333333333333333,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
2,0.042666666666666665,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
3,0.064,ok,position,True,31.917811144022007,33.172200189546395,31.917811144022007,33.172200189546395,,,0.9366803430109416,0.2341700857527354,2.165064639054488e-05,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.00027414360750410087, ""quality"": 0.6101506448391443, ""weight"": 0.6101506448391443}, {""pair"": [0, 2], ""delay_seconds"": 0.0005664589983543814, ""quality"": 0.6193930058830854, ""weight"": 0.6193930058830854}, {""pair"": [0, 3], ""delay_seconds"": 0.00014753532334993002, ""quality"": 0.6331082169948355, ""weight"": 0.6331082169948355}, {""pair"": [1, 2], ""delay_seconds"": 0.0002940667837340492, ""quality"": 0.5818612642196228, ""weight"": 0.5818612642196228}, {""pair"": [1, 3], ""delay_seconds"": -0.00012317137446617125, ""quality"": 0.5585212692756119, ""weight"": 0.5585212692756119}, {""pair"": [2, 3], ""delay_seconds"": -0.0003871667876710642, ""quality"": 0.6324840838747608, ""weight"": 0.6324840838747608}]"
4,0.08533333333333333,ok,position,True,30.222210254398888,41.416850851277104,31.324350832653916,36.057827921152146,-27.81845209537926,135.26379991901962,0.7479116731666203,0.33691840323551236,4.72836529661304e-05,5,1,True,transitivity errors: 1; rejected pairs: 1,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003281112522305425, ""quality"": 0.6309926392500903, ""weight"": 0.6309926392500903}, {""pair"": [0, 2], ""delay_seconds"": 0.0005662262176143922, ""quality"": 0.6393728682713021, ""weight"": 0.6393728682713021}, {""pair"": [0, 3], ""delay_seconds"": 0.0001509406836521936, ""quality"": 0.6739420488012723, ""weight"": 0.6739420488012723}, {""pair"": [1, 2], ""delay_seconds"": 0.00017126663695020365, ""quality"": 0.5981693053744545, ""weight"": 0.5981693053744545}, {""pair"": [1, 3], ""delay_seconds"": -0.00012435712437136386, ""quality"": 0.6201080373304366, ""weight"": 0.6201080373304366}, {""pair"": [2, 3], ""delay_seconds"": -0.00038806207869823006, ""quality"": 0.6233236163551423, ""weight"": 0.6233236163551423}]"
5,0.10666666666666667,insufficient_signal,position,False,,,31.324350832653916,36.057827921152146,,,0.0,0.28076533602959364,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
6,0.128,insufficient_signal,position,False,,,31.324350832653916,36.057827921152146,,,0.0,0.28076533602959364,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
7,0.14933333333333335,ok,position,True,29.21326519770838,42.83438256881857,30.58547086042298,38.429622047835394,-11.544999566108324,37.059283229425745,0.8648156893366425,0.4249012842523674,9.86839083874465e-05,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003206928180441001, ""quality"": 0.570349166348162, ""weight"": 0.570349166348162}, {""pair"": [0, 2], ""delay_seconds"": 0.0005844410994483665, ""quality"": 0.6028675998290594, ""weight"": 0.6028675998290594}, {""pair"": [0, 3], ""delay_seconds"": 0.00021248259051304626, ""quality"": 0.5832274787411607, ""weight"": 0.5832274787411607}, {""pair"": [1, 2], ""delay_seconds"": 0.00022310886212000269, ""quality"": 0.5723400754296817, ""weight"": 0.5723400754296817}, {""pair"": [1, 3], ""delay_seconds"": -0.0001919003901848064, ""quality"": 0.5784052758368478, ""weight"": 0.5784052758368478}, {""pair"": [2, 3], ""delay_seconds"": -0.0003783976300046056, ""quality"": 0.6036024698785128, ""weight"": 0.6036024698785128}]"
8,0.17066666666666666,ok,position,True,29.17422336758428,40.77200216262669,30.091534237929437,39.24945508801235,-23.153279179385166,38.429673758294676,0.846283778579873,0.5659485806823462,0.00012759485432948012,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.00037670824921668024, ""quality"": 0.5826403986473417, ""weight"": 0.5826403986473417}, {""pair"": [0, 2], ""delay_seconds"": 0.0005768767040907351, ""quality"": 0.595004761085338, ""weight"": 0.595004761085338}, {""pair"": [0, 3], ""delay_seconds"": 0.00022205413768043673, ""quality"": 0.5986875896531405, ""weight"": 0.5986875896531405}, {""pair"": [1, 2], ""delay_seconds"": 0.00020865114273282878, ""quality"": 0.5919140675451946, ""weight"": 0.5919140675451946}, {""pair"": [1, 3], ""delay_seconds"": -0.00014826319337282054, ""quality"": 0.5790029476866471, ""weight"": 0.5790029476866471}, {""pair"": [2, 3], ""delay_seconds"": -0.00043546119607643194, ""quality"": 0.5732087521778577, ""weight"": 0.5732087521778577}]"
9,0.192,insufficient_signal,position,False,,,30.091534237929437,39.24945508801235,,,0.0,0.4098351901805226,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
10,0.21333333333333335,insufficient_signal,position,False,,,30.091534237929437,39.24945508801235,,,0.0,0.28518324465275263,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,2048,0.5,[]
