window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,ok,position,True,-23.824859063314253,0.0,-23.82485906331425,0.0,,,0.3219855665411171,0.3219855665411171,0.0016943679701499458,5,1,True,transitivity errors: 3; rejected pairs: 1,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.000292437064359467, ""quality"": 0.42466871958958813, ""weight"": 0.42466871958958813}, {""pair"": [0, 2], ""delay_seconds"": 0.00022917997885803018, ""quality"": 0.3784297762535131, ""weight"": 0.3784297762535131}, {""pair"": [0, 3], ""delay_seconds"": 4.853164464735747e-05, ""quality"": 0.44077145269726414, ""weight"": 0.44077145269726414}, {""pair"": [1, 2], ""delay_seconds"": -0.00031550773903738064, ""quality"": 0.3947032001588419, ""weight"": 0.3947032001588419}, {""pair"": [1, 3], ""delay_seconds"": -0.0007274698065353241, ""quality"": 0.3932986129696884, ""weight"": 0.3932986129696884}, {""pair"": [2, 3], ""delay_seconds"": -0.0003329460080797234, ""quality"": 0.48353010503381616, ""weight"": 0.48353010503381616}]"
1,0.021333333333333333,low_confidence,position,False,-128.7873859550676,-0.00015682531232626273,-23.82485906331425,0.0,,,0.0,0.16099278327055855,0.013897850797271113,5,1,False,transitivity errors: 4; rejected pairs: 1,rejected abrupt low-confidence jump,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00022944378013087463, ""quality"": 0.3674535652651029, ""weight"": 0.3674535652651029}, {""pair"": [0, 2], ""delay_seconds"": -0.0004767804385889551, ""quality"": 0.41497156230224186, ""weight"": 0.41497156230224186}, {""pair"": [0, 3], ""delay_seconds"": -0.0005618324271001781, ""quality"": 0.37417311457830055, ""weight"": 0.37417311457830055}, {""pair"": [1, 2], ""delay_seconds"": 0.00021295337588273807, ""quality"": 0.4680349222167258, ""weight"": 0.4680349222167258}, {""pair"": [1, 3], ""delay_seconds"": 0.00022035974828086657, ""quality"": 0.37364416507677317, ""weight"": 0.37364416507677317}, {""pair"": [2, 3], ""delay_seconds"": -0.00041922836709011504, ""quality"": 0.45402879932032003, ""weight"": 0.45402879932032003}]"
2,0.042666666666666665,ok,position,True,127.65231365112822,23.8228950050019,29.192151386740612,8.338013251750665,1242.586182423161,195.42218558790623,0.7465594418168188,0.35618166945264534,4.879250945300053e-05,5,1,True,transitivity errors: 2; rejected pairs: 1,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00022988906841328656, ""quality"": 0.4025391848043895, ""weight"": 0.4025391848043895}, {""pair"": [0, 2], ""delay_seconds"": 8.50755353456539e-05, ""quality"": 0.3983642431271557, ""weight"": 0.3983642431271557}, {""pair"": [0, 3], ""delay_seconds"": 0.00045825573610229026, ""quality"": 0.4511333179048873, ""weight"": 0.4511333179048873}, {""pair"": [1, 2], ""delay_seconds"": 0.00037385647884039983, ""quality"": 0.3869952055711536, ""weight"": 0.3869952055711536}, {""pair"": [1, 3], ""delay_seconds"": 0.00024174983289204256, ""quality"": 0.4177705227518596, ""weight"": 0.4177705227518596}, {""pair"": [2, 3], ""delay_seconds"": 0.00041566572080779253, ""quality"": 0.36980752009564527, ""weight"": 0.36980752009564527}]"
3,0.064,ok,position,True,31.917811249785125,33.17220137301622,30.14613233880619,17.02997909419361,44.71785712807463,407.43589886451304,0.936680343010942,0.5013063378422195,2.165064639054455e-05,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.00027414360750410087, ""quality"": 0.6101506448391443, ""weight"": 0.6101506448391443}, {""pair"": [0, 2], ""delay_seconds"": 0.0005664589983543814, ""quality"": 0.6193930058830854, ""weight"": 0.6193930058830854}, {""pair"": [0, 3], ""delay_seconds"": 0.00014753532334993002, ""quality"": 0.6331082169948355, ""weight"": 0.6331082169948355}, {""pair"": [1, 2], ""delay_seconds"": 0.0002940667837340492, ""quality"": 0.5818612642196228, ""weight"": 0.5818612642196228}, {""pair"": [1, 3], ""delay_seconds"": -0.00012317137446617125, ""quality"": 0.5585212692756119, ""weight"": 0.5585212692756119}, {""pair"": [2, 3], ""delay_seconds"": -0.0003871667876710642, ""quality"": 0.6324840838747608, ""weight"": 0.6324840838747608}]"
4,0.08533333333333333,ok,position,True,30.222210254398888,41.416850851277104,30.172759609263633,25.565384209172834,1.2481533026931226,400.09711476465117,0.7479116731666203,0.5506274049070996,4.72836529661304e-05,5,1,True,transitivity errors: 1; rejected pairs: 1,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003281112522305425, ""quality"": 0.6309926392500903, ""weight"": 0.6309926392500903}, {""pair"": [0, 2], ""delay_seconds"": 0.0005662262176143922, ""quality"": 0.6393728682713021, ""weight"": 0.6393728682713021}, {""pair"": [0, 3], ""delay_seconds"": 0.0001509406836521936, ""quality"": 0.6739420488012723, ""weight"": 0.6739420488012723}, {""pair"": [1, 2], ""delay_seconds"": 0.00017126663695020365, ""quality"": 0.5981693053744545, ""weight"": 0.5981693053744545}, {""pair"": [1, 3], ""delay_seconds"": -0.00012435712437136386, ""quality"": 0.6201080373304366, ""weight"": 0.6201080373304366}, {""pair"": [2, 3], ""delay_seconds"": -0.00038806207869823006, ""quality"": 0.6233236163551423, ""weight"": 0.6233236163551423}]"
5,0.10666666666666667,low_confidence,position,False,-129.75829878361898,64.81373279538846,30.172759609263633,25.565384209172834,,,0.0,0.4588561707559164,0.010670642389538321,5,1,False,transitivity errors: 4; rejected pairs: 1,rejected abrupt low-confidence jump,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -6.107527912770066e-05, ""quality"": 0.4000967820750637, ""weight"": 0.4000967820750637}, {""pair"": [0, 2], ""delay_seconds"": -0.0007668871476272482, ""quality"": 0.36985975725977943, ""weight"": 0.36985975725977943}, {""pair"": [0, 3], ""delay_seconds"": 0.0001454835686604655, ""quality"": 0.40427844352870335, ""weight"": 0.40427844352870335}, {""pair"": [1, 2], ""delay_seconds"": 0.00021546445582262507, ""quality"": 0.42791973988478227, ""weight"": 0.42791973988478227}, {""pair"": [1, 3], ""delay_seconds"": -0.00037458976226625585, ""quality"": 0.3857104650910187, ""weight"": 0.3857104650910187}, {""pair"": [2, 3], ""delay_seconds"": 0.0005404065166017874, ""quality"": 0.33871954405843896, ""weight"": 0.33871954405843896}]"
6,0.128,ok,position,False,-57.15698304986832,0.0,30.172759609263633,25.565384209172834,,,0.02553914410076158,0.40944843368252376,0.004228403809983243,5,1,True,transitivity errors: 4; rejected pairs: 1,rejected abrupt low-confidence jump,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -9.025836890861357e-05, ""quality"": 0.3635029412505411, ""weight"": 0.3635029412505411}, {""pair"": [0, 2], ""delay_seconds"": -0.00025303395311158537, ""quality"": 0.3565733604537285, ""weight"": 0.3565733604537285}, {""pair"": [0, 3], ""delay_seconds"": 7.783753229050057e-05, ""quality"": 0.4177340478783968, ""weight"": 0.4177340478783968}, {""pair"": [1, 2], ""delay_seconds"": -2.6628694471626303e-05, ""quality"": 0.371945643724099, ""weight"": 0.371945643724099}, {""pair"": [1, 3], ""delay_seconds"": -0.0006027849030296349, ""quality"": 0.3620596333042208, ""weight"": 0.3620596333042208}, {""pair"": [2, 3], ""delay_seconds"": 3.9914098141383134e-05, ""quality"": 0.4885090751048592, ""weight"": 0.4885090751048592}]"
7,0.14933333333333335,ok,position,True,29.213265491062135,42.834383511011225,29.836936667893113,31.609533964816272,-5.247233458914201,94.4398399319287,0.8648156893366774,0.5535843819053033,9.868390838739561e-05,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0003206928180441001, ""quality"": 0.570349166348162, ""weight"": 0.570349166348162}, {""pair"": [0, 2], ""delay_seconds"": 0.0005844410994483665, ""quality"": 0.6028675998290594, ""weight"": 0.6028675998290594}, {""pair"": [0, 3], ""delay_seconds"": 0.00021248259051304626, ""quality"": 0.5832274787411607, ""weight"": 0.5832274787411607}, {""pair"": [1, 2], ""delay_seconds"": 0.00022310886212000269, ""quality"": 0.5723400754296817, ""weight"": 0.5723400754296817}, {""pair"": [1, 3], ""delay_seconds"": -0.0001919003901848064, ""quality"": 0.5784052758368478, ""weight"": 0.5784052758368478}, {""pair"": [2, 3], ""delay_seconds"": -0.0003783976300046056, ""quality"": 0.6036024698785128, ""weight"": 0.6036024698785128}]"
8,0.17066666666666666,ok,position,True,29.1742233866321,40.77200221369588,29.60498701945176,34.81639785192414,-10.872639770687984,150.32174470818128,0.8462837785798734,0.5702051046991458,0.0001275948543294796,6,0,True,,,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.00037670824921668024, ""quality"": 0.5826403986473417, ""weight"": 0.5826403986473417}, {""pair"": [0, 2], ""delay_seconds"": 0.0005768767040907351, ""quality"": 0.595004761085338, ""weight"": 0.595004761085338}, {""pair"": [0, 3], ""delay_seconds"": 0.00022205413768043673, ""quality"": 0.5986875896531405, ""weight"": 0.5986875896531405}, {""pair"": [1, 2], ""delay_seconds"": 0.00020865114273282878, ""quality"": 0.5919140675451946, ""weight"": 0.5919140675451946}, {""pair"": [1, 3], ""delay_seconds"": -0.00014826319337282054, ""quality"": 0.5790029476866471, ""weight"": 0.5790029476866471}, {""pair"": [2, 3], ""delay_seconds"": -0.00043546119607643194, ""quality"": 0.5732087521778577, ""weight"": 0.5732087521778577}]"
9,0.192,low_confidence,position,False,-132.06178942467315,0.0009012315907412862,29.60498701945176,34.81639785192414,,,0.0,0.4140917141973221,0.022918521404699573,4,2,False,transitivity errors: 2; rejected pairs: 2,rejected abrupt low-confidence jump,20.0,0.0,343.42,2048,0.5,"[{""pair"": [0, 1], ""delay_seconds"": 0.0005833333333333334, ""quality"": 0.42669276396864037, ""weight"": 0.42669276396864037}, {""pair"": [0, 2], ""delay_seconds"": -0.0006867272434042708, ""quality"": 0.4486929774999929, ""weight"": 0.4486929774999929}, {""pair"": [0, 3], ""delay_seconds"": -0.0002499846456456533, ""quality"": 0.37091101460339654, ""weight"": 0.37091101460339654}, {""pair"": [1, 2], ""delay_seconds"": 0.0005641099788289114, ""quality"": 0.47925265400813477, ""weight"": 0.47925265400813477}, {""pair"": [1, 3], ""delay_seconds"": -0.0006471117176130206, ""quality"": 0.3787723033593945, ""weight"": 0.3787723033593945}, {""pair"": [2, 3], ""delay_seconds"": -0.0003879969382151057, ""quality"": 0.3747959674064202, ""weight"": 0.3747959674064202}]"
