window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
1,0.042666666666666665,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
2,0.08533333333333333,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
3,0.128,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
4,0.17066666666666666,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
5,0.21333333333333335,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
6,0.256,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
7,0.2986666666666667,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
8,0.3413333333333333,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
9,0.384,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
10,0.4266666666666667,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,4096,0.5,[]
11,0.4693333333333333,ok,direction,True,-21.330978198399915,8.080458688572586,-21.330978198399915,8.080458688572586,,,0.9577055329148849,0.15961758881914748,9.659638508474973e-06,6,0,True,,,20.0,0.0,343.42,4096,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0001967932932486371, ""quality"": 0.477792367370562, ""weight"": 0.477792367370562}, {""pair"": [0, 2], ""delay_seconds"": -0.00012803544334191345, ""quality"": 0.45793983301943897, ""weight"": 0.45793983301943897}, {""pair"": [0, 3], ""delay_seconds"": 8.577441924459903e-05, ""quality"": 0.42992505025319766, ""weight"": 0.42992505025319766}, {""pair"": [1, 2], ""delay_seconds"": 7.17126749722202e-05, ""quality"": 0.465280510858991, ""weight"": 0.465280510858991}, {""pair"": [1, 3], ""delay_seconds"": 0.00029858937112206584, ""quality"": 0.46429086221067706, ""weight"": 0.46429086221067706}, {""pair"": [2, 3], ""delay_seconds"": 0.00021537765524893171, ""quality"": 0.5011124517786593, ""weight"": 0.5011124517786593}]"
