window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,ok,direction,True,-24.02995560914949,23.207488437784512,-24.02995560914949,23.207488437784512,,,0.9284612002859042,0.9284612002859042,2.763611926848101e-05,6,0,True,,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.000217233556255205, ""quality"": 0.6263221063085334, ""weight"": 0.6263221063085334}, {""pair"": [0, 2], ""delay_seconds"": 2.120992321086952e-05, ""quality"": 0.7825144554124517, ""weight"": 0.7825144554124517}, {""pair"": [0, 3], ""delay_seconds"": 0.00023010538408158135, ""quality"": 0.729783585076745, ""weight"": 0.729783585076745}, {""pair"": [1, 2], ""delay_seconds"": 0.00021512326311176765, ""quality"": 0.7194222589560074, ""weight"": 0.7194222589560074}, {""pair"": [1, 3], ""delay_seconds"": 0.00044974730246324766, ""quality"": 0.7186595635123031, ""weight"": 0.7186595635123031}, {""pair"": [2, 3], ""delay_seconds"": 0.00023127587747821303, ""quality"": 0.6146649806069611, ""weight"": 0.6146649806069611}]"
1,0.256,ok,direction,True,-23.149345339332456,22.628245299548464,-23.721742014713527,23.004753339401894,1.2039593532654491,-0.7919339780571022,0.9226285440083332,0.9255448721471187,3.232624789226039e-05,6,0,True,,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00019723221520116793, ""quality"": 0.6327995131700974, ""weight"": 0.6327995131700974}, {""pair"": [0, 2], ""delay_seconds"": -8.604322195180018e-07, ""quality"": 0.6997772146872775, ""weight"": 0.6997772146872775}, {""pair"": [0, 3], ""delay_seconds"": 0.00023804314421087746, ""quality"": 0.7189452299126131, ""weight"": 0.7189452299126131}, {""pair"": [1, 2], ""delay_seconds"": 0.00022513854343791766, ""quality"": 0.7155722670688386, ""weight"": 0.7155722670688386}, {""pair"": [1, 3], ""delay_seconds"": 0.0004332304100726089, ""quality"": 0.715270443621795, ""weight"": 0.715270443621795}, {""pair"": [2, 3], ""delay_seconds"": 0.00021155512713659234, ""quality"": 0.6199199757139402, ""weight"": 0.6199199757139402}]"
2,0.512,ok,direction,True,-19.25731595666808,24.405122723239664,-22.159192894397624,23.494882623745113,6.1037075012340125,1.9145675169656984,0.9870833531255897,0.9460576991399424,9.009347389823578e-07,6,0,True,near-field bearing,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0001668573407070084, ""quality"": 0.6511045283126461, ""weight"": 0.6511045283126461}, {""pair"": [0, 2], ""delay_seconds"": 6.207824629888871e-05, ""quality"": 0.6327013791940554, ""weight"": 0.6327013791940554}, {""pair"": [0, 3], ""delay_seconds"": 0.00024660355130999914, ""quality"": 0.7445872055334465, ""weight"": 0.7445872055334465}, {""pair"": [1, 2], ""delay_seconds"": 0.0002348989061065548, ""quality"": 0.7364976350256777, ""weight"": 0.7364976350256777}, {""pair"": [1, 3], ""delay_seconds"": 0.0004128539015158949, ""quality"": 0.7273419267545302, ""weight"": 0.7273419267545302}, {""pair"": [2, 3], ""delay_seconds"": 0.00017887875128591682, ""quality"": 0.6382603857314049, ""weight"": 0.6382603857314049}]"
3,0.768,ok,direction,True,-15.963462329958661,25.453202436214543,-19.990687196843986,24.180294558109413,8.470725381068855,2.6773903686105465,0.991158071502607,0.9573327922306085,4.22170377586254e-07,6,0,True,near-field bearing,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00013976683872801742, ""quality"": 0.66348985133356, ""weight"": 0.66348985133356}, {""pair"": [0, 2], ""delay_seconds"": 0.00010703055802751712, ""quality"": 0.6498220792498898, ""weight"": 0.6498220792498898}, {""pair"": [0, 3], ""delay_seconds"": 0.00025260811801615824, ""quality"": 0.7505495154072928, ""weight"": 0.7505495154072928}, {""pair"": [1, 2], ""delay_seconds"": 0.0002441889989207235, ""quality"": 0.7419539919335356, ""weight"": 0.7419539919335356}, {""pair"": [1, 3], ""delay_seconds"": 0.00039312766575834034, ""quality"": 0.7331799004920823, ""weight"": 0.7331799004920823}, {""pair"": [2, 3], ""delay_seconds"": 0.00015030966133763936, ""quality"": 0.6493699172022459, ""weight"": 0.6493699172022459}]"
4,1.024,ok,direction,True,-12.947187540385585,26.157161034012205,-17.525462317083544,24.87219782467539,9.62978468656428,2.702747135023345,0.9945080530449074,0.9647678443934684,1.6287199933077545e-07,6,0,True,near-field bearing,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00011361601726737152, ""quality"": 0.664948259237093, ""weight"": 0.664948259237093}, {""pair"": [0, 2], ""delay_seconds"": 0.00013984154001211782, ""quality"": 0.6712148809526054, ""weight"": 0.6712148809526054}, {""pair"": [0, 3], ""delay_seconds"": 0.0002586798612750653, ""quality"": 0.7185445848366929, ""weight"": 0.7185445848366929}, {""pair"": [1, 2], ""delay_seconds"": 0.00025136169328192516, ""quality"": 0.7220924887719526, ""weight"": 0.7220924887719526}, {""pair"": [1, 3], ""delay_seconds"": 0.00037333736764117435, ""quality"": 0.7168694542657318, ""weight"": 0.7168694542657318}, {""pair"": [2, 3], ""delay_seconds"": 0.00011981410049710687, ""quality"": 0.6560371458575497, ""weight"": 0.6560371458575497}]"
5,1.28,ok,direction,True,-11.276085831662456,26.54210330683208,-15.338180547186163,25.45666474343023,8.544069413661592,2.2830739013861012,0.9953675048685182,0.9698677878059766,1.158840601732947e-07,6,0,True,near-field bearing,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -9.776187762572223e-05, ""quality"": 0.6636925312156314, ""weight"": 0.6636925312156314}, {""pair"": [0, 2], ""delay_seconds"": 0.00015650524774369934, ""quality"": 0.6697619230883692, ""weight"": 0.6697619230883692}, {""pair"": [0, 3], ""delay_seconds"": 0.00026301181188818863, ""quality"": 0.7200456352153911, ""weight"": 0.7200456352153911}, {""pair"": [1, 2], ""delay_seconds"": 0.00025611336960648846, ""quality"": 0.7182265207223817, ""weight"": 0.7182265207223817}, {""pair"": [1, 3], ""delay_seconds"": 0.0003599392153337115, ""quality"": 0.7163246143177004, ""weight"": 0.7163246143177004}, {""pair"": [2, 3], ""delay_seconds"": 0.00010469357597283692, ""quality"": 0.6534366561281117, ""weight"": 0.6534366561281117}]"
6,1.536,ok,direction,True,-8.58169913963999,27.17349161248563,-12.973412054544998,26.057554147599618,9.237376924379536,2.3472242350366654,0.998188194202644,0.9814889534587666,1.7726257335596997e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -7.447449100799412e-05, ""quality"": 0.6933918412684915, ""weight"": 0.6933918412684915}, {""pair"": [0, 2], ""delay_seconds"": 0.0001874874793440934, ""quality"": 0.7001975235142971, ""weight"": 0.7001975235142971}, {""pair"": [0, 3], ""delay_seconds"": 0.00026740309161482205, ""quality"": 0.7414419657340735, ""weight"": 0.7414419657340735}, {""pair"": [1, 2], ""delay_seconds"": 0.00026246390671702633, ""quality"": 0.7338711338142325, ""weight"": 0.7338711338142325}, {""pair"": [1, 3], ""delay_seconds"": 0.00034210825651017154, ""quality"": 0.7384031475066478, ""weight"": 0.7384031475066478}, {""pair"": [2, 3], ""delay_seconds"": 7.91146576102595e-05, ""quality"": 0.6836018388105537, ""weight"": 0.6836018388105537}]"
7,1.792,ok,direction,True,-6.450585452382726,27.58102602844191,-10.690422743788204,26.59076930589442,8.91792699514371,2.082871712089068,0.9970260940445861,0.9938885451314755,4.7758229810890574e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -5.562748839296374e-05, ""quality"": 0.6982802735304416, ""weight"": 0.6982802735304416}, {""pair"": [0, 2], ""delay_seconds"": 0.0002104353819499866, ""quality"": 0.7111231030998628, ""weight"": 0.7111231030998628}, {""pair"": [0, 3], ""delay_seconds"": 0.00027030648160089127, ""quality"": 0.7465674469737611, ""weight"": 0.7465674469737611}, {""pair"": [1, 2], ""delay_seconds"": 0.0002671790019169777, ""quality"": 0.7390209691387456, ""weight"": 0.7390209691387456}, {""pair"": [1, 3], ""delay_seconds"": 0.0003269538751176317, ""quality"": 0.7412779356058208, ""weight"": 0.7412779356058208}, {""pair"": [2, 3], ""delay_seconds"": 5.914450895023404e-05, ""quality"": 0.6905866555597856, ""weight"": 0.6905866555597856}]"
8,2.048,ok,direction,True,-4.568727508971529,27.80217261309016,-8.547829411602365,27.014760463412927,8.369505203850935,1.6562154590566702,0.9915284276008814,0.9946293908773574,3.8754471013293544e-07,6,0,True,,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -3.9789617687721394e-05, ""quality"": 0.6994961064912854, ""weight"": 0.6994961064912854}, {""pair"": [0, 2], ""delay_seconds"": 0.0002308645544781478, ""quality"": 0.7170493013855578, ""weight"": 0.7170493013855578}, {""pair"": [0, 3], ""delay_seconds"": 0.0002725845586761031, ""quality"": 0.7440636410467104, ""weight"": 0.7440636410467104}, {""pair"": [1, 2], ""delay_seconds"": 0.00027052658405395775, ""quality"": 0.7424799896570898, ""weight"": 0.7424799896570898}, {""pair"": [1, 3], ""delay_seconds"": 0.0003125682625355707, ""quality"": 0.7427149282205976, ""weight"": 0.7427149282205976}, {""pair"": [2, 3], ""delay_seconds"": 4.2671825278607394e-05, ""quality"": 0.6989790905261584, ""weight"": 0.6989790905261584}]"
9,2.304,ok,direction,True,-2.7632909288706844,28.095967839527617,-6.52324094264628,27.39318304505307,7.90854870685976,1.478213209531816,0.9948024577417844,0.995236788583887,1.458780058400567e-07,6,0,True,,,20.0,0.0,343.42,24576,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -2.404040714187493e-05, ""quality"": 0.7045240567786758, ""weight"": 0.7045240567786758}, {""pair"": [0, 2], ""delay_seconds"": 0.0002498367154871633, ""quality"": 0.7317484122705662, ""weight"": 0.7317484122705662}, {""pair"": [0, 3], ""delay_seconds"": 0.0002746488964105275, ""quality"": 0.7438234864499835, ""weight"": 0.7438234864499835}, {""pair"": [1, 2], ""delay_seconds"": 0.0002734451003427209, ""quality"": 0.7458290527899133, ""weight"": 0.7458290527899133}, {""pair"": [1, 3], ""delay_seconds"": 0.0002991643199907744, ""quality"": 0.7497253804610186, ""weight"": 0.7497253804610186}, {""pair"": [2, 3], ""delay_seconds"": 2.5721706023376223e-05, ""quality"": 0.7012267946581469, ""weight"": 0.7012267946581469}]"
