window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
1,0.032,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
2,0.064,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
3,0.096,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
4,0.128,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
5,0.16,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
6,0.192,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
7,0.224,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
8,0.256,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
9,0.288,insufficient_signal,position,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
10,0.32,ok,position,True,-16.377790515602907,23.943298330383698,-16.377790515602907,23.943298330383698,,,0.9987302381247503,0.16645503968745837,8.706394187123612e-09,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00013164736391035604, ""quality"": 0.20135005243964696, ""weight"": 0.20135005243964696}, {""pair"": [0, 2], ""delay_seconds"": 8.17269875227347e-05, ""quality"": 0.20215462870814596, ""weight"": 0.20215462870814596}, {""pair"": [0, 3], ""delay_seconds"": 0.00023877761553756175, ""quality"": 0.2016105443284658, ""weight"": 0.2016105443284658}, {""pair"": [1, 2], ""delay_seconds"": 0.00021411467171347372, ""quality"": 0.20154101472904015, ""weight"": 0.20154101472904015}, {""pair"": [1, 3], ""delay_seconds"": 0.00037211659897356907, ""quality"": 0.20299629208968872, ""weight"": 0.20299629208968872}, {""pair"": [2, 3], ""delay_seconds"": 0.0001562289949406412, ""quality"": 0.20139656453420954, ""weight"": 0.20139656453420954}]"
11,0.352,ok,position,True,-16.126381356035804,23.71117874068262,-16.289797309754416,23.862056473988318,2.749787682764906,-2.5388080123556223,0.9916219990538634,0.3317253728631023,3.790308592087177e-07,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.000128194287105628, ""quality"": 0.20139000277066552, ""weight"": 0.20139000277066552}, {""pair"": [0, 2], ""delay_seconds"": 7.63636528233001e-05, ""quality"": 0.2022778377583857, ""weight"": 0.2022778377583857}, {""pair"": [0, 3], ""delay_seconds"": 0.0002398586881277068, ""quality"": 0.20159520007345194, ""weight"": 0.20159520007345194}, {""pair"": [1, 2], ""delay_seconds"": 0.00021228498642959486, ""quality"": 0.20154315214334823, ""weight"": 0.20154315214334823}, {""pair"": [1, 3], ""delay_seconds"": 0.00036876941997200923, ""quality"": 0.20298029808240672, ""weight"": 0.20298029808240672}, {""pair"": [2, 3], ""delay_seconds"": 0.00014925007673378523, ""quality"": 0.20146192586801012, ""weight"": 0.20146192586801012}]"
12,0.384,insufficient_signal,position,False,,,-16.289797309754416,23.862056473988318,,,0.0,0.3317253728631023,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
13,0.416,insufficient_signal,position,False,,,-16.289797309754416,23.862056473988318,,,0.0,0.3317253728631023,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
14,0.448,insufficient_signal,position,False,,,-16.289797309754416,23.862056473988318,,,0.0,0.3317253728631023,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
15,0.48,insufficient_signal,position,False,,,-16.289797309754416,23.862056473988318,,,0.0,0.3317253728631023,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
16,0.512,low_confidence,position,False,-90.0,64.01327380143698,-16.289797309754416,23.862056473988318,,,0.0,0.1652703331756439,2.8156786588731104e-16,6,0,False,coplanar position range is not observable: normal ratio 0.00; confidence below reliable threshold: 0.000,rejected abrupt low-confidence jump,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -3.8067884799140935e-10, ""quality"": 0.9202307682449413, ""weight"": 0.9202307682449413}, {""pair"": [0, 2], ""delay_seconds"": 4.2328118988058866e-10, ""quality"": 0.9335958997268179, ""weight"": 0.9335958997268179}, {""pair"": [0, 3], ""delay_seconds"": 8.484398356424208e-10, ""quality"": 0.9207273654387224, ""weight"": 0.9207273654387224}, {""pair"": [1, 2], ""delay_seconds"": 7.886543198712311e-10, ""quality"": 0.9089752989729392, ""weight"": 0.9089752989729392}, {""pair"": [1, 3], ""delay_seconds"": 1.2137852765904476e-09, ""quality"": 0.9200499365641196, ""weight"": 0.9200499365641196}, {""pair"": [2, 3], ""delay_seconds"": 4.2517603695029516e-10, ""quality"": 0.9228065670563657, ""weight"": 0.9228065670563657}]"
17,0.544,ok,position,True,-13.65697780914434,26.336097415840243,-15.368310484540885,24.72797080363649,4.799410547987084,4.50997046691757,0.9991668225130198,0.16652780375216997,3.748597513977595e-09,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00010120714640011166, ""quality"": 0.23624307134104922, ""weight"": 0.23624307134104922}, {""pair"": [0, 2], ""delay_seconds"": 0.0001233315652893643, ""quality"": 0.25431117800428205, ""weight"": 0.25431117800428205}, {""pair"": [0, 3], ""delay_seconds"": 0.0002517410256816543, ""quality"": 0.24133846164439784, ""weight"": 0.24133846164439784}, {""pair"": [1, 2], ""delay_seconds"": 0.00022329506272624752, ""quality"": 0.24002609743777545, ""weight"": 0.24002609743777545}, {""pair"": [1, 3], ""delay_seconds"": 0.0003523139751090967, ""quality"": 0.2587893741744641, ""weight"": 0.2587893741744641}, {""pair"": [2, 3], ""delay_seconds"": 0.00012856643945233378, ""quality"": 0.23685193923566542, ""weight"": 0.23685193923566542}]"
18,0.576,low_confidence,position,False,-90.0,56.40147440264606,-15.368310484540885,24.72797080363649,,,0.0,0.16652780375216997,0.00033612608570450747,5,1,False,transitivity errors: 3; rejected pairs: 1; coplanar position range is not observable: normal ratio 0.00; confidence below reliable threshold: 0.000,rejected abrupt low-confidence jump,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -6.197332930519801e-08, ""quality"": 0.2686951232063927, ""weight"": 0.2686951232063927}, {""pair"": [0, 2], ""delay_seconds"": 6.20480332293658e-08, ""quality"": 0.29040008317672894, ""weight"": 0.29040008317672894}, {""pair"": [0, 3], ""delay_seconds"": 0.00022114034529670224, ""quality"": 0.23353207915102844, ""weight"": 0.23353207915102844}, {""pair"": [1, 2], ""delay_seconds"": 2.1848625793392873e-05, ""quality"": 0.240535781701149, ""weight"": 0.240535781701149}, {""pair"": [1, 3], ""delay_seconds"": 0.0003460949197384468, ""quality"": 0.2503955916843739, ""weight"": 0.2503955916843739}, {""pair"": [2, 3], ""delay_seconds"": 6.169996215688053e-08, ""quality"": 0.27182266633139807, ""weight"": 0.27182266633139807}]"
19,0.608,insufficient_signal,position,False,,,-15.368310484540885,24.72797080363649,,,0.0,0.16652780375216997,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
20,0.64,insufficient_signal,position,False,,,-15.368310484540885,24.72797080363649,,,0.0,0.16652780375216997,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
21,0.672,insufficient_signal,position,False,,,-15.368310484540885,24.72797080363649,,,0.0,0.16652780375216997,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
22,0.704,insufficient_signal,position,False,,,-15.368310484540885,24.72797080363649,,,0.0,0.16652780375216997,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
23,0.736,low_confidence,position,False,-90.0,77.4885063358667,-15.368310484540885,24.72797080363649,,,0.0,0.0,9.746452919457499e-05,5,1,False,transitivity errors: 4; rejected pairs: 1; coplanar position range is not observable: normal ratio 0.00; confidence below reliable threshold: 0.000,rejected abrupt low-confidence jump,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -5.210982639922073e-07, ""quality"": 0.24615149963681632, ""weight"": 0.24615149963681632}, {""pair"": [0, 2], ""delay_seconds"": 0.00012791171600023773, ""quality"": 0.2653693250811092, ""weight"": 0.2653693250811092}, {""pair"": [0, 3], ""delay_seconds"": 0.00025363319459270324, ""quality"": 0.24806022317099555, ""weight"": 0.24806022317099555}, {""pair"": [1, 2], ""delay_seconds"": 7.241145155624665e-07, ""quality"": 0.22531845095136133, ""weight"": 0.22531845095136133}, {""pair"": [1, 3], ""delay_seconds"": 0.0003477329930028447, ""quality"": 0.26725320597376506, ""weight"": 0.26725320597376506}, {""pair"": [2, 3], ""delay_seconds"": 2.917213110349842e-07, ""quality"": 0.2503840276050589, ""weight"": 0.2503840276050589}]"
24,0.768,ok,position,True,-12.188107397465583,26.12243803382423,-14.255239404064525,25.2160343342022,4.969067323555113,2.1788550471683363,0.999800982971642,0.16663349716194034,2.138819989128058e-10,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -9.586012191113988e-05, ""quality"": 0.24239445403609278, ""weight"": 0.24239445403609278}, {""pair"": [0, 2], ""delay_seconds"": 0.00013844786105124543, ""quality"": 0.2628939797904553, ""weight"": 0.2628939797904553}, {""pair"": [0, 3], ""delay_seconds"": 0.0002546090449082047, ""quality"": 0.2476813983068436, ""weight"": 0.2476813983068436}, {""pair"": [1, 2], ""delay_seconds"": 0.00023415622952569068, ""quality"": 0.2466613335621395, ""weight"": 0.2466613335621395}, {""pair"": [1, 3], ""delay_seconds"": 0.0003503327203172554, ""quality"": 0.2658638198469629, ""weight"": 0.2658638198469629}, {""pair"": [2, 3], ""delay_seconds"": 0.00011635845954216609, ""quality"": 0.2427795969654238, ""weight"": 0.2427795969654238}]"
25,0.8,low_confidence,position,False,-90.0,66.29009002552534,-14.255239404064525,25.2160343342022,,,0.0,0.16663349716194034,8.624255116052835e-16,6,0,False,coplanar position range is not observable: normal ratio 0.00; confidence below reliable threshold: 0.000,rejected abrupt low-confidence jump,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -5.468174630151124e-10, ""quality"": 0.9229234440832134, ""weight"": 0.9229234440832134}, {""pair"": [0, 2], ""delay_seconds"": 7.585828822990499e-10, ""quality"": 0.9334101002426989, ""weight"": 0.9334101002426989}, {""pair"": [0, 3], ""delay_seconds"": 1.3989150025734278e-09, ""quality"": 0.8916711943958163, ""weight"": 0.8916711943958163}, {""pair"": [1, 2], ""delay_seconds"": 1.3053576348797805e-09, ""quality"": 0.9207528231885791, ""weight"": 0.9207528231885791}, {""pair"": [1, 3], ""delay_seconds"": 1.9456160456834814e-09, ""quality"": 0.905398212172934, ""weight"": 0.905398212172934}, {""pair"": [2, 3], ""delay_seconds"": 6.403864130247404e-10, ""quality"": 0.9207095550508302, ""weight"": 0.9207095550508302}]"
26,0.832,insufficient_signal,position,False,,,-14.255239404064525,25.2160343342022,,,0.0,0.16663349716194034,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
27,0.864,insufficient_signal,position,False,,,-14.255239404064525,25.2160343342022,,,0.0,0.16663349716194034,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
28,0.896,insufficient_signal,position,False,,,-14.255239404064525,25.2160343342022,,,0.0,0.16663349716194034,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
29,0.928,insufficient_signal,position,False,,,-14.255239404064525,25.2160343342022,,,0.0,0.16663349716194034,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
30,0.96,ok,position,True,-10.60150392130724,28.759381611437338,-12.976431985099468,26.456205881234496,6.660455307109609,6.459226807459881,0.9988920400250811,0.16648200667084687,6.628906652520344e-09,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -7.612473841339322e-05, ""quality"": 0.22129833228707718, ""weight"": 0.22129833228707718}, {""pair"": [0, 2], ""delay_seconds"": 0.00016986866747774015, ""quality"": 0.23432339364140006, ""weight"": 0.23432339364140006}, {""pair"": [0, 3], ""delay_seconds"": 0.00026930339751348603, ""quality"": 0.22640389220834706, ""weight"": 0.22640389220834706}, {""pair"": [1, 2], ""delay_seconds"": 0.0002456136575785859, ""quality"": 0.22546703165954002, ""weight"": 0.22546703165954002}, {""pair"": [1, 3], ""delay_seconds"": 0.0003459841691936857, ""quality"": 0.23885867118177928, ""weight"": 0.23885867118177928}, {""pair"": [2, 3], ""delay_seconds"": 9.859230515097306e-05, ""quality"": 0.22158972558420587, ""weight"": 0.22158972558420587}]"
31,0.992,ok,position,True,-10.622319581057868,28.81428641868375,-12.152492643684912,27.281534069341735,25.74810441920492,25.791505878351195,0.9993751115579632,0.3330445252638407,2.1086220509525447e-09,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -7.605936563168924e-05, ""quality"": 0.2212913264462222, ""weight"": 0.2212913264462222}, {""pair"": [0, 2], ""delay_seconds"": 0.00016986384569801834, ""quality"": 0.2343187209556153, ""weight"": 0.2343187209556153}, {""pair"": [0, 3], ""delay_seconds"": 0.00026925841515281, ""quality"": 0.22640203271633735, ""weight"": 0.22640203271633735}, {""pair"": [1, 2], ""delay_seconds"": 0.00024548700694849843, ""quality"": 0.22546256382638605, ""weight"": 0.22546256382638605}, {""pair"": [1, 3], ""delay_seconds"": 0.0003454831626595643, ""quality"": 0.23884351148689992, ""weight"": 0.23884351148689992}, {""pair"": [2, 3], ""delay_seconds"": 9.899275921500689e-05, ""quality"": 0.2215924748151067, ""weight"": 0.2215924748151067}]"
32,1.024,insufficient_signal,position,False,,,-12.152492643684912,27.281534069341735,,,0.0,0.3330445252638407,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
33,1.056,insufficient_signal,position,False,,,-12.152492643684912,27.281534069341735,,,0.0,0.3330445252638407,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,12288,0.5,[]
