window_index,timestamp_s,status,mode,confidence,azimuth_deg,elevation_deg,x_m,y_m,z_m,used_pairs,rejected_pairs,tdoa_policy,informative,reason,message,preprocess_s,gcc_s,localize_s,total_s,runtime_error,pair_delays_json
0,0.352,insufficient_signal,direction,0.0,,,,,,0,0,manual,False,low_energy,окно неинформативно: low_energy,0.01452119997702539,0.0,0.0,0.014570700004696846,False,[]
1,0.384,ok,direction,0.9964728439055845,-43.828846753109254,9.125011221607561,9.539589255479179,-9.057361371546666,2.223982949546369,6,0,narrowband,True,,,0.013389999978244305,0.07991319999564439,0.8140924000181258,0.9074664999498054,False,"[{""pair"": [0, 1], ""delay_seconds"": -0.00039711518472972335, ""quality"": 0.2771045906242762, ""weight"": 0.2771045906242762}, {""pair"": [0, 2], ""delay_seconds"": -0.0003068415709837508, ""quality"": 0.28447794448110886, ""weight"": 0.28447794448110886}, {""pair"": [0, 3], ""delay_seconds"": 9.160701312725526e-05, ""quality"": 0.2625457114757021, ""weight"": 0.2625457114757021}, {""pair"": [1, 2], ""delay_seconds"": 9.459392429442216e-05, ""quality"": 0.2633311994664743, ""weight"": 0.2633311994664743}, {""pair"": [1, 3], ""delay_seconds"": 0.0004902968997463486, ""quality"": 0.29157212386655923, ""weight"": 0.29157212386655923}, {""pair"": [2, 3], ""delay_seconds"": 0.0003985024423544761, ""quality"": 0.27796668831546834, ""weight"": 0.27796668831546834}]"
2,0.416,ok,direction,0.9929879345709223,-43.56466089694632,8.938092616361988,9.538967947548345,-8.972624078145671,2.170475685845878,6,0,narrowband,True,,,0.013325000065378845,0.07399409997742623,0.2829432999715209,0.3703309000702575,False,"[{""pair"": [0, 1], ""delay_seconds"": -0.0003941271754923646, ""quality"": 0.27255220621849763, ""weight"": 0.27255220621849763}, {""pair"": [0, 2], ""delay_seconds"": -0.0003045982146403788, ""quality"": 0.2795726656149871, ""weight"": 0.2795726656149871}, {""pair"": [0, 3], ""delay_seconds"": 9.035876774842662e-05, ""quality"": 0.2578694123280464, ""weight"": 0.2578694123280464}, {""pair"": [1, 2], ""delay_seconds"": 8.633262292905286e-05, ""quality"": 0.25803264871096615, ""weight"": 0.25803264871096615}, {""pair"": [1, 3], ""delay_seconds"": 0.0004891058043191496, ""quality"": 0.28584555244861537, ""weight"": 0.28584555244861537}, {""pair"": [2, 3], ""delay_seconds"": 0.0003979648609469206, ""quality"": 0.27278710223778946, ""weight"": 0.27278710223778946}]"
3,0.448,insufficient_signal,direction,0.0,,,,,,0,0,manual,False,low_energy,окно неинформативно: low_energy,0.013149400008842349,0.0,0.0,0.013200800050981343,False,[]
4,0.48,ok,direction,0.984063118196185,-41.10624936294018,9.164412633444819,9.913111767910438,-8.549662825517768,2.2224596144930127,6,0,narrowband,True,,,0.013184100040234625,0.07260240009054542,0.42096700007095933,0.5068181999959052,False,"[{""pair"": [0, 1], ""delay_seconds"": -0.00037301639992421803, ""quality"": 0.2612995814076407, ""weight"": 0.2612995814076407}, {""pair"": [0, 2], ""delay_seconds"": -0.0002936533479884163, ""quality"": 0.2672425860979522, ""weight"": 0.2672425860979522}, {""pair"": [0, 3], ""delay_seconds"": 0.00010032188644005208, ""quality"": 0.2493472522176497, ""weight"": 0.2493472522176497}, {""pair"": [1, 2], ""delay_seconds"": 9.460201997979397e-05, ""quality"": 0.24919150529463938, ""weight"": 0.24919150529463938}, {""pair"": [1, 3], ""delay_seconds"": 0.0004709594477742417, ""quality"": 0.27184914872575594, ""weight"": 0.27184914872575594}, {""pair"": [2, 3], ""delay_seconds"": 0.0003739681823598047, ""quality"": 0.26122247405185006, ""weight"": 0.26122247405185006}]"
5,0.512,ok,direction,0.9734241735854233,-41.54653602100473,9.70687791327989,9.786311041352462,-8.572376931898992,2.3367386814794244,6,0,narrowband,True,,,0.012698999955318868,0.08926259994041175,1.0110487999627367,1.1130763000110164,False,"[{""pair"": [0, 1], ""delay_seconds"": -0.00037520654708011884, ""quality"": 0.2595584983466817, ""weight"": 0.2595584983466817}, {""pair"": [0, 2], ""delay_seconds"": -0.00029311053691828546, ""quality"": 0.2655983334671641, ""weight"": 0.2655983334671641}, {""pair"": [0, 3], ""delay_seconds"": 9.175928340344143e-05, ""quality"": 0.24852649862763374, ""weight"": 0.24852649862763374}, {""pair"": [1, 2], ""delay_seconds"": 0.00011092346441178427, ""quality"": 0.24776971644228168, ""weight"": 0.24776971644228168}, {""pair"": [1, 3], ""delay_seconds"": 0.0004838822139854218, ""quality"": 0.27010043602816003, ""weight"": 0.27010043602816003}, {""pair"": [2, 3], ""delay_seconds"": 0.00036976804454274745, ""quality"": 0.2595698804684844, ""weight"": 0.2595698804684844}]"
6,0.544,insufficient_signal,direction,0.0,,,,,,0,0,manual,False,low_energy,окно неинформативно: low_energy,0.01182320003863424,0.0,0.0,0.011874799965880811,False,[]
7,0.576,ok,direction,0.7112653896152342,-37.49696905795229,6.199429210243486,10.46345047699446,-7.928008553515184,1.5325809423654275,5,1,narrowband,True,,transitivity errors: 4; rejected pairs: 1,0.012816399917937815,0.07358189998194575,0.24500600004103035,0.33147390000522137,False,"[{""pair"": [0, 1], ""delay_seconds"": -0.00035640642909902956, ""quality"": 0.22906934053384823, ""weight"": 0.22906934053384823}, {""pair"": [0, 2], ""delay_seconds"": -0.00022711807150989228, ""quality"": 0.2347449926447873, ""weight"": 0.2347449926447873}, {""pair"": [0, 3], ""delay_seconds"": -8.263039917724646e-07, ""quality"": 0.22982404731915176, ""weight"": 0.22982404731915176}, {""pair"": [1, 2], ""delay_seconds"": -3.6412592443104255e-08, ""quality"": 0.22919438542709888, ""weight"": 0.22919438542709888}, {""pair"": [1, 3], ""delay_seconds"": 0.00047124719582004166, ""quality"": 0.24036926378851128, ""weight"": 0.24036926378851128}, {""pair"": [2, 3], ""delay_seconds"": 0.00037977537979172536, ""quality"": 0.22906919470586212, ""weight"": 0.22906919470586212}]"
8,0.608,ok,direction,0.9805921067426809,-40.15732211159772,10.533618577084095,9.926511975846772,-8.275886723126678,2.51508821553083,6,0,narrowband,True,,,0.012763599981553853,0.07673780003096908,0.2995877000503242,0.38916370004881173,False,"[{""pair"": [0, 1], ""delay_seconds"": -0.0003723561562737324, ""quality"": 0.2346360541649571, ""weight"": 0.2346360541649571}, {""pair"": [0, 2], ""delay_seconds"": -0.00026080743197387887, ""quality"": 0.2395744446717758, ""weight"": 0.2395744446717758}, {""pair"": [0, 3], ""delay_seconds"": 0.00011841739411204836, ""quality"": 0.22572892603085815, ""weight"": 0.22572892603085815}, {""pair"": [1, 2], ""delay_seconds"": 0.0001025614338880248, ""quality"": 0.22523866637205664, ""weight"": 0.22523866637205664}, {""pair"": [1, 3], ""delay_seconds"": 0.00046708723597456355, ""quality"": 0.2465239378265002, ""weight"": 0.2465239378265002}, {""pair"": [2, 3], ""delay_seconds"": 0.0003776794580776306, ""quality"": 0.23471814322873372, ""weight"": 0.23471814322873372}]"
9,0.64,insufficient_signal,direction,0.0,,,,,,0,0,manual,False,low_energy,окно неинформативно: low_energy,0.01296099997125566,0.0,0.0,0.013019999954849482,False,[]
