window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,ok,direction,True,-27.01193269316782,21.966802146550776,-27.011932693167818,21.966802146550776,,,0.9965196675105724,0.9965196675105724,6.540865687961192e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0002354327032287982, ""quality"": 0.7384737231427541, ""weight"": 0.7384737231427541}, {""pair"": [0, 2], ""delay_seconds"": -2.79473223735376e-05, ""quality"": 0.727716298054966, ""weight"": 0.727716298054966}, {""pair"": [0, 3], ""delay_seconds"": 0.0002252845387082408, ""quality"": 0.7631572806561374, ""weight"": 0.7631572806561374}, {""pair"": [1, 2], ""delay_seconds"": 0.00020880467312266697, ""quality"": 0.764500073098034, ""weight"": 0.764500073098034}, {""pair"": [1, 3], ""delay_seconds"": 0.00046041232353737565, ""quality"": 0.7827402472503356, ""weight"": 0.7827402472503356}, {""pair"": [2, 3], ""delay_seconds"": 0.0002517552809123766, ""quality"": 0.7341578426477787, ""weight"": 0.7341578426477787}]"
1,0.128,ok,direction,True,-25.203171627418588,22.742132374851597,-26.37886632015559,22.238167726456062,4.945831039158133,2.120043593010046,0.9827084870853996,0.989614077297986,1.61458066192928e-06,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00022185530128772418, ""quality"": 0.6812796017355877, ""weight"": 0.6812796017355877}, {""pair"": [0, 2], ""delay_seconds"": -9.225544184461616e-07, ""quality"": 0.8722627675068553, ""weight"": 0.8722627675068553}, {""pair"": [0, 3], ""delay_seconds"": 0.00022954275532422312, ""quality"": 0.7245988906027452, ""weight"": 0.7245988906027452}, {""pair"": [1, 2], ""delay_seconds"": 0.0002138888234909887, ""quality"": 0.7176738548296413, ""weight"": 0.7176738548296413}, {""pair"": [1, 3], ""delay_seconds"": 0.0004519928428487914, ""quality"": 0.7347204881745704, ""weight"": 0.7347204881745704}, {""pair"": [2, 3], ""delay_seconds"": 0.00023676429392067245, ""quality"": 0.6777568247219538, ""weight"": 0.6777568247219538}]"
2,0.256,ok,direction,True,-23.884682245008374,22.618027354692263,-25.505901893854066,22.371118596338732,6.820034580480749,1.0386786709583595,0.9451232156066994,0.9747837900675571,1.6261891912883494e-05,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0002072027782738434, ""quality"": 0.7008621449899798, ""weight"": 0.7008621449899798}, {""pair"": [0, 2], ""delay_seconds"": 1.354647698518719e-06, ""quality"": 0.8220816923605002, ""weight"": 0.8220816923605002}, {""pair"": [0, 3], ""delay_seconds"": 0.0002339325705956925, ""quality"": 0.7324650250019523, ""weight"": 0.7324650250019523}, {""pair"": [1, 2], ""delay_seconds"": 0.00022048505666504007, ""quality"": 0.7263343530010954, ""weight"": 0.7263343530010954}, {""pair"": [1, 3], ""delay_seconds"": 0.0004413659770948085, ""quality"": 0.75140656142055, ""weight"": 0.75140656142055}, {""pair"": [2, 3], ""delay_seconds"": 0.00022169636577259018, ""quality"": 0.695441921557261, ""weight"": 0.695441921557261}]"
3,0.384,ok,direction,True,-22.12237695281911,23.638375525350238,-24.321668164491832,22.81465852149276,9.25182601064245,3.46515566526584,0.9980135392291707,0.9805912273579606,2.130854252783646e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00019380350135793112, ""quality"": 0.7255530806987223, ""weight"": 0.7255530806987223}, {""pair"": [0, 2], ""delay_seconds"": 3.278209158437412e-05, ""quality"": 0.732744880255463, ""weight"": 0.732744880255463}, {""pair"": [0, 3], ""delay_seconds"": 0.00023848683490047687, ""quality"": 0.7552681481138296, ""weight"": 0.7552681481138296}, {""pair"": [1, 2], ""delay_seconds"": 0.00022599753817173547, ""quality"": 0.7560527228730757, ""weight"": 0.7560527228730757}, {""pair"": [1, 3], ""delay_seconds"": 0.00043241680033690756, ""quality"": 0.7728659701451462, ""weight"": 0.7728659701451462}, {""pair"": [2, 3], ""delay_seconds"": 0.00020666240434934042, ""quality"": 0.7220130817817529, ""weight"": 0.7220130817817529}]"
4,0.512,ok,direction,True,-20.429905671323265,24.13772283677621,-22.95955129188284,23.277731031841967,10.64153806725776,3.6177539871031783,0.9981027392180039,0.9840935297299692,1.94378317644629e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0001785938534276709, ""quality"": 0.7201396442648275, ""weight"": 0.7201396442648275}, {""pair"": [0, 2], ""delay_seconds"": 5.208751375003924e-05, ""quality"": 0.7337139218624388, ""weight"": 0.7337139218624388}, {""pair"": [0, 3], ""delay_seconds"": 0.0002434992211349087, ""quality"": 0.7469781817368892, ""weight"": 0.7469781817368892}, {""pair"": [1, 2], ""delay_seconds"": 0.00023065040878435966, ""quality"": 0.7487936078495288, ""weight"": 0.7487936078495288}, {""pair"": [1, 3], ""delay_seconds"": 0.0004213328394747636, ""quality"": 0.7657896397284778, ""weight"": 0.7657896397284778}, {""pair"": [2, 3], ""delay_seconds"": 0.00019062185709754913, ""quality"": 0.7176353681081344, ""weight"": 0.7176353681081344}]"
5,0.64,ok,direction,True,-18.90679177337207,24.627760201789034,-21.54108546040408,23.75024124132344,11.081764308427777,3.691486011574013,0.999088605849578,0.9865927090832374,4.48545220608569e-09,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0001647979381088073, ""quality"": 0.730966348372696, ""weight"": 0.730966348372696}, {""pair"": [0, 2], ""delay_seconds"": 7.06672945780093e-05, ""quality"": 0.7354368495636568, ""weight"": 0.7354368495636568}, {""pair"": [0, 3], ""delay_seconds"": 0.0002473006986501847, ""quality"": 0.754095718100156, ""weight"": 0.754095718100156}, {""pair"": [1, 2], ""delay_seconds"": 0.00023523950283426532, ""quality"": 0.7495616619604774, ""weight"": 0.7495616619604774}, {""pair"": [1, 3], ""delay_seconds"": 0.0004121509244594302, ""quality"": 0.7712201490379551, ""weight"": 0.7712201490379551}, {""pair"": [2, 3], ""delay_seconds"": 0.00017647085824385573, ""quality"": 0.7237359988888259, ""weight"": 0.7237359988888259}]"
6,0.768,ok,direction,True,-17.358807463920403,25.008311348762327,-20.077288161634794,24.190565778927052,11.435916396635104,3.440035450028217,0.998342903878735,0.9868965818112644,1.4828224797601035e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00015142577976362529, ""quality"": 0.7334827820349197, ""weight"": 0.7334827820349197}, {""pair"": [0, 2], ""delay_seconds"": 8.807089506487386e-05, ""quality"": 0.7470077924466727, ""weight"": 0.7470077924466727}, {""pair"": [0, 3], ""delay_seconds"": 0.00025010393890935315, ""quality"": 0.7638256420752537, ""weight"": 0.7638256420752537}, {""pair"": [1, 2], ""delay_seconds"": 0.00024012641263941687, ""quality"": 0.754474606712403, ""weight"": 0.754474606712403}, {""pair"": [1, 3], ""delay_seconds"": 0.0004016177632429002, ""quality"": 0.7738537427146738, ""weight"": 0.7738537427146738}, {""pair"": [2, 3], ""delay_seconds"": 0.00016217927978565857, ""quality"": 0.729394542018173, ""weight"": 0.729394542018173}]"
7,0.896,ok,direction,True,-15.916931354593467,25.396339268151117,-18.62116327917033,24.612586500155473,11.375975644253522,3.2970368845970377,0.9988193924123938,0.9895817326990968,7.526705089931187e-09,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00013944257860472968, ""quality"": 0.7271397283233783, ""weight"": 0.7271397283233783}, {""pair"": [0, 2], ""delay_seconds"": 0.00010502553057316978, ""quality"": 0.7469843686512169, ""weight"": 0.7469843686512169}, {""pair"": [0, 3], ""delay_seconds"": 0.000252806004830032, ""quality"": 0.7548359052787357, ""weight"": 0.7548359052787357}, {""pair"": [1, 2], ""delay_seconds"": 0.0002446209055198084, ""quality"": 0.7524384899158802, ""weight"": 0.7524384899158802}, {""pair"": [1, 3], ""delay_seconds"": 0.00039282919036631844, ""quality"": 0.7693573491794402, ""weight"": 0.7693573491794402}, {""pair"": [2, 3], ""delay_seconds"": 0.00014798415599107491, ""quality"": 0.726332496289585, ""weight"": 0.726332496289585}]"
8,1.024,ok,direction,True,-14.531826043348488,25.740773708020996,-17.189895246632688,25.007452022908407,11.18178150420035,3.0848868965072938,0.9972942280513212,0.998276901439867,3.953448992659003e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00012654529530594264, ""quality"": 0.733564692063249, ""weight"": 0.733564692063249}, {""pair"": [0, 2], ""delay_seconds"": 0.00012046641751994481, ""quality"": 0.7519495590233849, ""weight"": 0.7519495590233849}, {""pair"": [0, 3], ""delay_seconds"": 0.00025561646764936613, ""quality"": 0.7536180090156935, ""weight"": 0.7536180090156935}, {""pair"": [1, 2], ""delay_seconds"": 0.0002481360997436345, ""quality"": 0.7562933647425946, ""weight"": 0.7562933647425946}, {""pair"": [1, 3], ""delay_seconds"": 0.000383144520398363, ""quality"": 0.767218896442946, ""weight"": 0.767218896442946}, {""pair"": [2, 3], ""delay_seconds"": 0.0001353807520003383, ""quality"": 0.724529957739809, ""weight"": 0.724529957739809}]"
9,1.152,ok,direction,True,-13.15134161922754,26.13815429467858,-15.776401477040885,25.403197818027966,11.042920074936022,3.09176402437156,0.9977026243989933,0.9982250823015043,2.850084712134461e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00011460182954771555, ""quality"": 0.7049601527531039, ""weight"": 0.7049601527531039}, {""pair"": [0, 2], ""delay_seconds"": 0.00013727081729454586, ""quality"": 0.7237123113303511, ""weight"": 0.7237123113303511}, {""pair"": [0, 3], ""delay_seconds"": 0.00025885424847040493, ""quality"": 0.7235699852044728, ""weight"": 0.7235699852044728}, {""pair"": [1, 2], ""delay_seconds"": 0.000251274297253636, ""quality"": 0.7289198444917552, ""weight"": 0.7289198444917552}, {""pair"": [1, 3], ""delay_seconds"": 0.0003738923911391153, ""quality"": 0.7461289994928434, ""weight"": 0.7461289994928434}, {""pair"": [2, 3], ""delay_seconds"": 0.00012272736535619811, ""quality"": 0.7005380534204148, ""weight"": 0.7005380534204148}]"
