window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,ok,direction,True,-27.275970591758725,21.68941436979048,-27.275970591758732,21.68941436979048,,,0.9717739859980951,0.9717739859980951,4.302222478752972e-06,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.000235421365802199, ""quality"": 0.7299821487213587, ""weight"": 0.7299821487213587}, {""pair"": [0, 2], ""delay_seconds"": -3.897462768192926e-05, ""quality"": 0.6835179265561723, ""weight"": 0.6835179265561723}, {""pair"": [0, 3], ""delay_seconds"": 0.00022516829388263766, ""quality"": 0.7491817648632642, ""weight"": 0.7491817648632642}, {""pair"": [1, 2], ""delay_seconds"": 0.00020838480866105347, ""quality"": 0.7581897044200985, ""weight"": 0.7581897044200985}, {""pair"": [1, 3], ""delay_seconds"": 0.00046033167954342795, ""quality"": 0.7788970030420116, ""weight"": 0.7788970030420116}, {""pair"": [2, 3], ""delay_seconds"": 0.0002520338960000743, ""quality"": 0.7235581745271693, ""weight"": 0.7235581745271693}]"
1,0.128,ok,direction,True,-25.36936231925892,22.592222434360753,-26.608657696383794,22.005397192390078,5.213381995116784,2.468615801559354,0.9859881072984485,0.9788810466482718,1.0601989402308662e-06,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00022166626606917939, ""quality"": 0.8516857022598092, ""weight"": 0.8516857022598092}, {""pair"": [0, 2], ""delay_seconds"": -4.561557023674155e-06, ""quality"": 0.854982586523058, ""weight"": 0.854982586523058}, {""pair"": [0, 3], ""delay_seconds"": 0.00022903192027678258, ""quality"": 0.8208747017690758, ""weight"": 0.8208747017690758}, {""pair"": [1, 2], ""delay_seconds"": 0.00021232294758327333, ""quality"": 0.8563585497429734, ""weight"": 0.8563585497429734}, {""pair"": [1, 3], ""delay_seconds"": 0.0004526410838313143, ""quality"": 0.8866994701214503, ""weight"": 0.8866994701214503}, {""pair"": [2, 3], ""delay_seconds"": 0.00023701226036672754, ""quality"": 0.8038617459919578, ""weight"": 0.8038617459919578}]"
2,0.256,ok,direction,True,-23.922419417700052,22.846900318488125,-25.668474298844487,22.299923286524393,7.345182793275784,2.3009851104243415,0.9783721931949381,0.9787114288304939,2.5259149468642587e-06,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.000206853341859889, ""quality"": 0.7525628041409949, ""weight"": 0.7525628041409949}, {""pair"": [0, 2], ""delay_seconds"": 4.171845097645963e-06, ""quality"": 0.7577468391685713, ""weight"": 0.7577468391685713}, {""pair"": [0, 3], ""delay_seconds"": 0.0002334970889912996, ""quality"": 0.7820852270291834, ""weight"": 0.7820852270291834}, {""pair"": [1, 2], ""delay_seconds"": 0.00022060253999611746, ""quality"": 0.7729251016580146, ""weight"": 0.7729251016580146}, {""pair"": [1, 3], ""delay_seconds"": 0.00044144562020174695, ""quality"": 0.8492671076075903, ""weight"": 0.8492671076075903}, {""pair"": [2, 3], ""delay_seconds"": 0.00022199041421581644, ""quality"": 0.7495431644383893, ""weight"": 0.7495431644383893}]"
3,0.384,ok,direction,True,-21.942189411464597,23.842798765596203,-24.36427458826152,22.839929704199527,10.189060238929404,4.218800138086981,0.9768662016862572,0.9782501220444347,2.889932171873031e-06,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00019514122629205648, ""quality"": 0.7144587293259225, ""weight"": 0.7144587293259225}, {""pair"": [0, 2], ""delay_seconds"": 4.0971257261026594e-05, ""quality"": 0.7327449564409423, ""weight"": 0.7327449564409423}, {""pair"": [0, 3], ""delay_seconds"": 0.00023857053519838112, ""quality"": 0.7964941599258485, ""weight"": 0.7964941599258485}, {""pair"": [1, 2], ""delay_seconds"": 0.00022638708381912364, ""quality"": 0.7538133481800909, ""weight"": 0.7538133481800909}, {""pair"": [1, 3], ""delay_seconds"": 0.0004323609118324611, ""quality"": 0.8131443493048088, ""weight"": 0.8131443493048088}, {""pair"": [2, 3], ""delay_seconds"": 0.0002066742968860389, ""quality"": 0.7480669582228291, ""weight"": 0.7480669582228291}]"
4,0.512,ok,direction,True,-20.44402116648774,24.087774620404183,-22.99218589064069,23.276675424871158,10.719442950162694,3.412075942747117,0.9912673568191656,0.9808535689993809,4.117989073883827e-07,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0001791858057432815, ""quality"": 0.7586732177258855, ""weight"": 0.7586732177258855}, {""pair"": [0, 2], ""delay_seconds"": 5.0655844190103735e-05, ""quality"": 0.8887389778386645, ""weight"": 0.8887389778386645}, {""pair"": [0, 3], ""delay_seconds"": 0.0002437834796163732, ""quality"": 0.7891768454305814, ""weight"": 0.7891768454305814}, {""pair"": [1, 2], ""delay_seconds"": 0.00023051261285791388, ""quality"": 0.8413282905682357, ""weight"": 0.8413282905682357}, {""pair"": [1, 3], ""delay_seconds"": 0.0004217096459150281, ""quality"": 0.8076470595577612, ""weight"": 0.8076470595577612}, {""pair"": [2, 3], ""delay_seconds"": 0.0001892853255794303, ""quality"": 0.821284621155618, ""weight"": 0.821284621155618}]"
5,0.64,ok,direction,True,-18.824604846611198,24.78307816106873,-21.53353252523036,23.803916382540308,11.395729417268186,4.119069981790235,0.9886386122722379,0.9821510762115238,6.970381079429309e-07,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00016374721251819592, ""quality"": 0.7923068635234554, ""weight"": 0.7923068635234554}, {""pair"": [0, 2], ""delay_seconds"": 7.523448347371452e-05, ""quality"": 0.73970885058457, ""weight"": 0.73970885058457}, {""pair"": [0, 3], ""delay_seconds"": 0.00024748795606294014, ""quality"": 0.7706073505199877, ""weight"": 0.7706073505199877}, {""pair"": [1, 2], ""delay_seconds"": 0.00023521947699936907, ""quality"": 0.7570874624244268, ""weight"": 0.7570874624244268}, {""pair"": [1, 3], ""delay_seconds"": 0.0004121990508089157, ""quality"": 0.8239936660853182, ""weight"": 0.8239936660853182}, {""pair"": [2, 3], ""delay_seconds"": 0.000177279355442668, ""quality"": 0.8276549155279224, ""weight"": 0.8276549155279224}]"
6,0.768,ok,direction,True,-17.242608657323245,25.05350342258186,-20.031709171462868,24.241271846554852,11.732994951308529,3.416839562613627,0.9906918119444749,0.985304047202587,4.678687703359113e-07,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00014785239398334047, ""quality"": 0.7399707532667593, ""weight"": 0.7399707532667593}, {""pair"": [0, 2], ""delay_seconds"": 8.889177511973274e-05, ""quality"": 0.8972220267327315, ""weight"": 0.8972220267327315}, {""pair"": [0, 3], ""delay_seconds"": 0.00025000855023298295, ""quality"": 0.8465671244790948, ""weight"": 0.8465671244790948}, {""pair"": [1, 2], ""delay_seconds"": 0.0002403695515615108, ""quality"": 0.8758633768926761, ""weight"": 0.8758633768926761}, {""pair"": [1, 3], ""delay_seconds"": 0.0004011758393512265, ""quality"": 0.8603554946250944, ""weight"": 0.8603554946250944}, {""pair"": [2, 3], ""delay_seconds"": 0.00016156454521720057, ""quality"": 0.7749321315225068, ""weight"": 0.7749321315225068}]"
7,0.896,ok,direction,True,-15.848470776714617,25.31019234110159,-18.567575733300977,24.61539401964621,11.438542485639802,2.922829477276234,0.9743984865797782,0.9833724437494752,3.539362442791305e-06,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00014097145002247424, ""quality"": 0.7130934528943829, ""weight"": 0.7130934528943829}, {""pair"": [0, 2], ""delay_seconds"": 0.00010577705444446628, ""quality"": 0.897648985334523, ""weight"": 0.897648985334523}, {""pair"": [0, 3], ""delay_seconds"": 0.0002525613527427359, ""quality"": 0.8039154665191487, ""weight"": 0.8039154665191487}, {""pair"": [1, 2], ""delay_seconds"": 0.0002446077686544651, ""quality"": 0.8565226239136535, ""weight"": 0.8565226239136535}, {""pair"": [1, 3], ""delay_seconds"": 0.00039345226451007094, ""quality"": 0.7796572617880109, ""weight"": 0.7796572617880109}, {""pair"": [2, 3], ""delay_seconds"": 0.00014591519262330583, ""quality"": 0.828090438379346, ""weight"": 0.828090438379346}]"
8,1.024,ok,direction,True,-14.395952811744394,25.739965600469024,-17.107507710756174,25.008994072934193,11.406781426131385,3.075000416312368,0.9838070800372236,0.9842782582231896,1.4159375473727627e-06,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00012204163072211094, ""quality"": 0.75529954271406, ""weight"": 0.75529954271406}, {""pair"": [0, 2], ""delay_seconds"": 0.00012001965427457621, ""quality"": 0.9117822605137288, ""weight"": 0.9117822605137288}, {""pair"": [0, 3], ""delay_seconds"": 0.00025543380292232585, ""quality"": 0.8538742992054689, ""weight"": 0.8538742992054689}, {""pair"": [1, 2], ""delay_seconds"": 0.00024813640667559157, ""quality"": 0.852315160128417, ""weight"": 0.852315160128417}, {""pair"": [1, 3], ""delay_seconds"": 0.00038278902403176396, ""quality"": 0.8750773007820427, ""weight"": 0.8750773007820427}, {""pair"": [2, 3], ""delay_seconds"": 0.00013304434945487256, ""quality"": 0.6866863880646258, ""weight"": 0.6866863880646258}]"
9,1.152,ok,direction,True,-13.275423912839395,26.19484372302103,-15.766278381485305,25.424041450464586,10.478354134928711,3.242557636956192,0.9869200759042347,0.9859539039261858,9.238558374953097e-07,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00011466037702487426, ""quality"": 0.7928309411453907, ""weight"": 0.7928309411453907}, {""pair"": [0, 2], ""delay_seconds"": 0.00013787691240231564, ""quality"": 0.7956037289790291, ""weight"": 0.7956037289790291}, {""pair"": [0, 3], ""delay_seconds"": 0.0002585957911393278, ""quality"": 0.8745870284147022, ""weight"": 0.8745870284147022}, {""pair"": [1, 2], ""delay_seconds"": 0.0002508378878648984, ""quality"": 0.803749552642591, ""weight"": 0.803749552642591}, {""pair"": [1, 3], ""delay_seconds"": 0.00037404069029623507, ""quality"": 0.8725396883484752, ""weight"": 0.8725396883484752}, {""pair"": [2, 3], ""delay_seconds"": 0.0001264945071795175, ""quality"": 0.787463142159424, ""weight"": 0.787463142159424}]"
