window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,ok,direction,True,-27.01554562509519,21.966427188503516,-27.015545625095186,21.966427188503516,,,0.9964491240849226,0.9964491240849226,6.80870867270946e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00023545189266123805, ""quality"": 0.7308083051834997, ""weight"": 0.7308083051834997}, {""pair"": [0, 2], ""delay_seconds"": -2.8003995903958563e-05, ""quality"": 0.7193959607605563, ""weight"": 0.7193959607605563}, {""pair"": [0, 3], ""delay_seconds"": 0.00022530278078385847, ""quality"": 0.7562681277139767, ""weight"": 0.7562681277139767}, {""pair"": [1, 2], ""delay_seconds"": 0.00020880221007586283, ""quality"": 0.757885945626979, ""weight"": 0.757885945626979}, {""pair"": [1, 3], ""delay_seconds"": 0.0004604276614098621, ""quality"": 0.7788476793482675, ""weight"": 0.7788476793482675}, {""pair"": [2, 3], ""delay_seconds"": 0.0002517835569869535, ""quality"": 0.7273180099797862, ""weight"": 0.7273180099797862}]"
1,0.128,ok,direction,True,-25.202544124733553,22.743280311542833,-26.38099509996862,22.238325781567276,4.957425977551333,2.1242077583106256,0.9827649114929319,0.9896070177889272,1.604060689570947e-06,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00022184685249710269, ""quality"": 0.677627124941957, ""weight"": 0.677627124941957}, {""pair"": [0, 2], ""delay_seconds"": -9.215605047972458e-07, ""quality"": 0.8717534086283013, ""weight"": 0.8717534086283013}, {""pair"": [0, 3], ""delay_seconds"": 0.00022954083596090114, ""quality"": 0.7191651350287045, ""weight"": 0.7191651350287045}, {""pair"": [1, 2], ""delay_seconds"": 0.00021387672466533902, ""quality"": 0.7118482519941668, ""weight"": 0.7118482519941668}, {""pair"": [1, 3], ""delay_seconds"": 0.00045199340311549843, ""quality"": 0.7294592547683602, ""weight"": 0.7294592547683602}, {""pair"": [2, 3], ""delay_seconds"": 0.00023677301705209679, ""quality"": 0.6736905969902528, ""weight"": 0.6736905969902528}]"
2,0.256,ok,direction,True,-23.886431030569415,22.615304347782903,-25.5078976756789,22.370268279742746,6.821073627263363,1.030800766995854,0.9456134561585122,0.9749424972454556,1.597263921551916e-05,6,0,True,,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00020718942235752443, ""quality"": 0.6939483898988635, ""weight"": 0.6939483898988635}, {""pair"": [0, 2], ""delay_seconds"": 1.3561380447363562e-06, ""quality"": 0.8204028075578784, ""weight"": 0.8204028075578784}, {""pair"": [0, 3], ""delay_seconds"": 0.00023391419256418524, ""quality"": 0.7257802890261272, ""weight"": 0.7257802890261272}, {""pair"": [1, 2], ""delay_seconds"": 0.00022050491941541498, ""quality"": 0.7205896955568777, ""weight"": 0.7205896955568777}, {""pair"": [1, 3], ""delay_seconds"": 0.00044134785464804155, ""quality"": 0.7454142352103923, ""weight"": 0.7454142352103923}, {""pair"": [2, 3], ""delay_seconds"": 0.0002216883296901389, ""quality"": 0.6913043692305654, ""weight"": 0.6913043692305654}]"
3,0.384,ok,direction,True,-22.120085485109275,23.63976312475559,-24.32216340897953,22.81459147549724,9.26354895858883,3.4712749668319995,0.9978926876447048,0.9806800448452679,2.3980132959010868e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00019382004330345965, ""quality"": 0.7170291549800357, ""weight"": 0.7170291549800357}, {""pair"": [0, 2], ""delay_seconds"": 3.2850333856323635e-05, ""quality"": 0.7237255884197801, ""weight"": 0.7237255884197801}, {""pair"": [0, 3], ""delay_seconds"": 0.00023847277798577892, ""quality"": 0.7467418125652946, ""weight"": 0.7467418125652946}, {""pair"": [1, 2], ""delay_seconds"": 0.00022601916296304114, ""quality"": 0.7497129323693374, ""weight"": 0.7497129323693374}, {""pair"": [1, 3], ""delay_seconds"": 0.0004324201358930821, ""quality"": 0.7653692870113068, ""weight"": 0.7653692870113068}, {""pair"": [2, 3], ""delay_seconds"": 0.00020664324459579157, ""quality"": 0.714193359800168, ""weight"": 0.714193359800168}]"
4,0.512,ok,direction,True,-20.428605915351447,24.137065878586597,-22.959418286209697,23.277457516578515,10.646446271639354,3.616140945947449,0.9980824478820354,0.9841605254526214,1.9855833075597676e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00017860685258296442, ""quality"": 0.7134285859543108, ""weight"": 0.7134285859543108}, {""pair"": [0, 2], ""delay_seconds"": 5.208969269788325e-05, ""quality"": 0.7265678134952347, ""weight"": 0.7265678134952347}, {""pair"": [0, 3], ""delay_seconds"": 0.00024349288776110667, ""quality"": 0.7396145890801697, ""weight"": 0.7396145890801697}, {""pair"": [1, 2], ""delay_seconds"": 0.0002306682420442193, ""quality"": 0.7425328102769431, ""weight"": 0.7425328102769431}, {""pair"": [1, 3], ""delay_seconds"": 0.00042131854433061705, ""quality"": 0.7591679537862404, ""weight"": 0.7591679537862404}, {""pair"": [2, 3], ""delay_seconds"": 0.00019060209838338827, ""quality"": 0.7114126142104696, ""weight"": 0.7114126142104696}]"
5,0.64,ok,direction,True,-18.907126823070122,24.628649236970144,-21.54111627411085,23.750374618715586,11.080484469522256,3.6946648604458674,0.9990994629270437,0.9866503483650252,4.37922190675138e-09,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00016477246588633918, ""quality"": 0.7248203961358641, ""weight"": 0.7248203961358641}, {""pair"": [0, 2], ""delay_seconds"": 7.066092938380032e-05, ""quality"": 0.7302471412221784, ""weight"": 0.7302471412221784}, {""pair"": [0, 3], ""delay_seconds"": 0.000247305129399201, ""quality"": 0.7506562358056229, ""weight"": 0.7506562358056229}, {""pair"": [1, 2], ""delay_seconds"": 0.00023524642287714426, ""quality"": 0.7422921651314989, ""weight"": 0.7422921651314989}, {""pair"": [1, 3], ""delay_seconds"": 0.00041216634427459575, ""quality"": 0.7646256220206501, ""weight"": 0.7646256220206501}, {""pair"": [2, 3], ""delay_seconds"": 0.0001764725322883124, ""quality"": 0.7160129108379563, ""weight"": 0.7160129108379563}]"
6,0.768,ok,direction,True,-17.358153346918442,25.008652490026126,-20.077079249593503,24.190771873674276,11.43778925404182,3.440603554364763,0.9983147029274846,0.9869612781721188,1.533722160219689e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00015140895639060152, ""quality"": 0.7255120779913142, ""weight"": 0.7255120779913142}, {""pair"": [0, 2], ""delay_seconds"": 8.807367608329168e-05, ""quality"": 0.7398238134980304, ""weight"": 0.7398238134980304}, {""pair"": [0, 3], ""delay_seconds"": 0.00025010574204320605, ""quality"": 0.7570319017046132, ""weight"": 0.7570319017046132}, {""pair"": [1, 2], ""delay_seconds"": 0.00024013678278455208, ""quality"": 0.7466311406496899, ""weight"": 0.7466311406496899}, {""pair"": [1, 3], ""delay_seconds"": 0.0004016133742329836, ""quality"": 0.7669840913342078, ""weight"": 0.7669840913342078}, {""pair"": [2, 3], ""delay_seconds"": 0.0001621771416069795, ""quality"": 0.7217254368629183, ""weight"": 0.7217254368629183}]"
7,0.896,ok,direction,True,-15.917318643533232,25.396920549602157,-18.621163037472407,24.612923910249034,11.374345407196174,3.2980627857402967,0.9987779341060182,0.9896301152742998,8.064603265861314e-09,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00013944347037421758, ""quality"": 0.7192048487072824, ""weight"": 0.7192048487072824}, {""pair"": [0, 2], ""delay_seconds"": 0.00010504025527815995, ""quality"": 0.73997651660715, ""weight"": 0.73997651660715}, {""pair"": [0, 3], ""delay_seconds"": 0.00025279750790346443, ""quality"": 0.7511393515008701, ""weight"": 0.7511393515008701}, {""pair"": [1, 2], ""delay_seconds"": 0.0002446249712406117, ""quality"": 0.745189215565413, ""weight"": 0.745189215565413}, {""pair"": [1, 3], ""delay_seconds"": 0.000392844449465546, ""quality"": 0.7648020035829509, ""weight"": 0.7648020035829509}, {""pair"": [2, 3], ""delay_seconds"": 0.0001479933223415913, ""quality"": 0.7214335373099928, ""weight"": 0.7214335373099928}]"
8,1.024,ok,direction,True,-14.531640474979755,25.740288540323963,-17.18983014059998,25.007501530775258,11.182288256815776,3.082637660361126,0.9973512808260082,0.9982530860522157,3.788485161842761e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00012654642265013197, ""quality"": 0.7274689199217617, ""weight"": 0.7274689199217617}, {""pair"": [0, 2], ""delay_seconds"": 0.00012046763327749834, ""quality"": 0.7448658933168433, ""weight"": 0.7448658933168433}, {""pair"": [0, 3], ""delay_seconds"": 0.00025561401363748305, ""quality"": 0.746443814771108, ""weight"": 0.746443814771108}, {""pair"": [1, 2], ""delay_seconds"": 0.00024811837328474553, ""quality"": 0.7514575964121686, ""weight"": 0.7514575964121686}, {""pair"": [1, 3], ""delay_seconds"": 0.0003831330784892931, ""quality"": 0.7628727134509256, ""weight"": 0.7628727134509256}, {""pair"": [2, 3], ""delay_seconds"": 0.00013538483582796527, ""quality"": 0.7164379360590687, ""weight"": 0.7164379360590687}]"
9,1.152,ok,direction,True,-13.150868714267107,26.137265099716526,-15.77619364138348,25.402918779904702,11.04403515012887,3.0891972588237864,0.997657698687647,0.9982139212260396,2.9626427364394332e-08,6,0,True,near-field bearing,,20.0,0.0,343.42,12288,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00011461492047162455, ""quality"": 0.6976598777706547, ""weight"": 0.6976598777706547}, {""pair"": [0, 2], ""delay_seconds"": 0.00013728191188138865, ""quality"": 0.7185969035092056, ""weight"": 0.7185969035092056}, {""pair"": [0, 3], ""delay_seconds"": 0.00025883120097833744, ""quality"": 0.7168375337690195, ""weight"": 0.7168375337690195}, {""pair"": [1, 2], ""delay_seconds"": 0.0002512824739079647, ""quality"": 0.7222047220202765, ""weight"": 0.7222047220202765}, {""pair"": [1, 3], ""delay_seconds"": 0.00037388896684082963, ""quality"": 0.7398820889162662, ""weight"": 0.7398820889162662}, {""pair"": [2, 3], ""delay_seconds"": 0.00012272603410738627, ""quality"": 0.6971172398865311, ""weight"": 0.6971172398865311}]"
