ch0,ch1,ch2,ch3
-0.004402845465383914,-0.005066267195416335,-0.00491674927334982,-0.004567430618950964
-0.004493683069112159,-0.005139812666483626,-0.0049360000571151245,-0.00464810684891151
-0.004557731846510149,-0.005177152669101015,-0.004916626216928961,-0.004741922450718028
-0.004586051974572666,-0.005172740188363195,-0.004879907352944288,-0.004824819235299205
-0.004583860738351833,-0.0051379577462183496,-0.004853746026649286,-0.00487667014165908
-0.004568517670961253,-0.005096408609048614,-0.0048612334703928145,-0.00488975744141449
-0.004562437976096442,-0.005074128552987882,-0.0049111587186572506,-0.004872050714383215
-0.004583868861409102,-0.005088783897553739,-0.004994398416313793,-0.004843937671005993
-0.004639354639198998,-0.005142337537935596,-0.005087692539929106,-0.0048297778969826
-0.004721020958443838,-0.00522022465222876,-0.005163254749558442,-0.004847794747027956
-0.004809814314438075,-0.005297380694718787,-0.0052002502988889865,-0.004902506005520044
-0.004883366177447258,-0.005348624274606917,-0.005193399390832451,-0.004982837144135166
-0.004925233709993114,-0.005359092680315591,-0.00515515057964179,-0.005066701583900088
-0.00493169568799072,-0.005330405413377398,-0.0051105265337812456,-0.005130149199664175
-0.004913290973250318,-0.0052800002544793195,-0.005086773826568559,-0.005157289737610066
-0.004890460648709391,-0.005233914352260893,-0.00510209636733025,-0.005146876743396422
-0.004885094190317969,-0.005215998424938931,-0.005158130290533108,-0.005112822443230983
-0.004911475188081035,-0.005238030709069891,-0.00523927036686387,-0.005078430184933508
-0.004970371377075504,-0.0052948262571743815,-0.005319124652442303,-0.005066735293969574
-0.005048713681031519,-0.005366369863492565,-0.005371427045590002,-0.005090958099757958
-0.005124997356996598,-0.005426092983707227,-0.0053808952787712735,-0.005149026108294513
-0.005178171526710448,-0.0054518704136812535,-0.005349545962820439,-0.005224435439497181
-0.005196340594352297,-0.005435184911329154,-0.0052958579817997745,-0.005293093984426414
-0.0051816791349038605,-0.005384664617187104,-0.005247132896223659,-0.005333309346932089
-0.005149528367795059,-0.005322526272621059,-0.005228212864800158,-0.005334781074845411
