window_index,timestamp_s,status,confidence,azimuth_deg,elevation_deg,x_m,y_m,z_m,used_pairs,rejected_pairs,tdoa_policy,informative,message,reason,preprocess_s,gcc_s,localize_s,total_s,runtime_error
0,0.096,ok,0.9999382224905342,-45.54273200618182,8.23649716893214,7.978788493100481,-8.031396144540846,1.7490393939847597,6,0,wideband,True,,,0.014239300042390823,0.41657899995334446,0.4925611999351531,0.9234376000240445,False
1,0.128,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010429900023154914,0.0,0.0,0.010480200056917965,False
2,0.16,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01124669995624572,0.0,0.0,0.011377999908290803,False
3,0.192,ok,0.9915114318884503,-36.43505329553991,9.522599219695653,9.663835830213412,-7.033924329498802,2.11495160639002,6,0,wideband,True,,,0.011723199975676835,0.381242600036785,0.24011030001565814,0.6331364000216126,False
4,0.224,ok,0.9915114291219826,-36.4350532220897,9.522599226961235,9.663835839153164,-7.0339243169585135,2.1149516079132122,6,0,wideband,True,,,0.012110900017432868,0.3977508000098169,0.24737849994562566,0.6572977000614628,False
5,0.256,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010028799995779991,0.0,0.0,0.010078100021928549,False
6,0.288,ok,0.991534684813506,-28.47687153147539,10.04523061930894,11.352702049520877,-6.058081871849161,2.3878357269280355,6,0,wideband,True,,,0.01208560005761683,0.41091309988405555,0.262976499972865,0.686034300015308,False
7,0.32,ok,0.9915346871453958,-28.47687147942203,10.0452306763845,11.35270205311221,-6.058081860448548,2.3878357397937267,6,0,wideband,True,,,0.012414800003170967,0.37851449998561293,0.26633979997131974,0.6573379000183195,False
8,0.352,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010138599900528789,0.0,0.0,0.010179099976085126,False
9,0.384,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010910500073805451,0.0,0.0,0.010950400028377771,False
10,0.416,ok,0.9999682146395372,-21.33878670241208,10.302719591067822,13.073825282200472,-5.00746991458253,2.6514737960728914,6,0,wideband,True,,,0.010826600017026067,0.3932702000020072,0.4759723999304697,0.8801301000639796,False
11,0.448,ok,0.9999682149112424,-21.338786715891874,10.30271956702604,13.073825281996077,-5.007469918047947,2.6514737901832426,6,0,wideband,True,,,0.011259700055234134,0.44090739998500794,0.48580210004001856,0.9380285000661388,False
12,0.48,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010271199978888035,0.0,0.0,0.010314199957065284,False
13,0.512,ok,0.9999998340841211,-16.742064641829018,10.114636029345828,14.682973268006775,-4.316855697550396,2.835249559702665,6,0,wideband,True,near-field bearing,,0.012543799937702715,0.39316340000368655,0.25013429997488856,0.6558989000041038,False
14,0.544,ok,0.9999998340817171,-16.742064654012353,10.114636074651818,14.682973264996386,-4.316855700049528,2.8352495718269943,6,0,wideband,True,near-field bearing,,0.010948100010864437,0.376471700030379,0.2497046000789851,0.6371822999790311,False
15,0.576,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011159599991515279,0.0,0.0,0.011208500014618039,False
16,0.608,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010707500041462481,0.0,0.0,0.010775099974125624,False
17,0.64,ok,0.9999860328895569,-12.048136885819542,9.779028359618106,16.381914199983868,-3.396470973374076,2.987067894335586,6,0,wideband,True,,,0.01190919999498874,0.4030341999605298,0.3748432999709621,0.7898508000653237,False
18,0.672,ok,0.9999860341630273,-12.048136871779922,9.779028354067867,16.381914201114142,-3.3964709694182678,2.9870678927129277,6,0,wideband,True,,,0.012252700049430132,0.3980293000349775,0.3687110000755638,0.7790485000004992,False
19,0.704,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010731099988333881,0.0,0.0,0.01077259995508939,False
